asin,url,image_url
B0CKTM52YC,https://www.amazon.com/Dell-Optiplex-3060-Computer-Professional/dp/B0CKTM52YC,https://m.media-amazon.com/images/I/81fo98vRsTL.jpg
B0BN1SLZ9F,https://www.amazon.com/Dell-OptiPlex-7050-Computer-Bluetooth/dp/B0BN1SLZ9F,https://m.media-amazon.com/images/I/51ty7vW0tXL.jpg
B0F854GHFB,https://www.amazon.com/Dell-Optiplex-7050-Excellent-Condition/dp/B0F854GHFB,https://m.media-amazon.com/images/I/61qlDP5tiuL.jpg
B0F3P5NF56,https://www.amazon.com/Dell-Tower-Desktop-ECT1250-Processor/dp/B0F3P5NF56,https://m.media-amazon.com/images/I/71M7tXAPK7L.jpg
B0CY4Y22HS,https://www.amazon.com/HP-ProDesk-600-G3-DisplayPort/dp/B0CY4Y22HS,https://m.media-amazon.com/images/I/810hRLF8InL.jpg
B09WZXH1NK,https://www.amazon.com/Windows-11-Desktop-Computer-Bluetooth/dp/B09WZXH1NK,https://m.media-amazon.com/images/I/712D1L3s0oL.jpg
B09R6H1Z6H,https://www.amazon.com/Dell-Optiplex-Desktop-Computer-i5-6500/dp/B09R6H1Z6H,https://m.media-amazon.com/images/I/61RcnCuHbmL.jpg
B0GKP57QTL,https://www.amazon.com/HP-ProOne-600-G4-Computer/dp/B0GKP57QTL,https://m.media-amazon.com/images/I/61ywjdROzjL.jpg
B0B1DK5CLT,https://www.amazon.com/Dell-OptiPlex-Computer-Wireless-Keyboard/dp/B0B1DK5CLT,https://m.media-amazon.com/images/I/61GGkjt2U+L.jpg
B0FKMPRLBB,https://www.amazon.com/Dell-OptiPlex-5040-SFF-Bluetooth/dp/B0FKMPRLBB,https://m.media-amazon.com/images/I/71nRLMLIA5L.jpg
B0FM38DNK7,https://www.amazon.com/Dell-2025-ECT1250-Business-Desktop/dp/B0FM38DNK7,https://m.media-amazon.com/images/I/71t+9kgpkNL.jpg
B0BGBWJFWW,https://www.amazon.com/Dell-OptiPlex-5070-Computers-Bluetooth/dp/B0BGBWJFWW,https://m.media-amazon.com/images/I/61mvnz2DWiL.jpg
B07N1TZS7P,https://www.amazon.com/Dell-Optiplex-3040-SFF-i3-6100-Windows/dp/B07N1TZS7P,https://m.media-amazon.com/images/I/61Fix2iz5KL.jpg
B0G4RB5H12,https://www.amazon.com/Dell-OptiPlex-3060-Bluetooth-DisplayPort/dp/B0G4RB5H12,https://m.media-amazon.com/images/I/61qOj3-haUL.jpg
B0DJWLRLXJ,https://www.amazon.com/HP-Microtower-Computer-i5-10500-DisplayPort/dp/B0DJWLRLXJ,https://m.media-amazon.com/images/I/51h4Dcz4lVL.jpg
B0BN2399P3,https://www.amazon.com/Dell-OptiPlex-7040-Processor-Bluetooth/dp/B0BN2399P3,https://m.media-amazon.com/images/I/612uHTyJMsL.jpg
B0FVFH3SY7,https://www.amazon.com/Lenovo-ThinkCentre-M710-SFF-Computer/dp/B0FVFH3SY7,https://m.media-amazon.com/images/I/71G3V13QlTL.jpg
B0FDB3STMB,https://www.amazon.com/HP-ProDesk-600-G3-DisplayPort/dp/B0FDB3STMB,https://m.media-amazon.com/images/I/71ZS-8GCFKL.jpg
B0BC7S9R5C,https://www.amazon.com/KAMRUI-GK3-2-5-inch-Ethernet-Business/dp/B0BC7S9R5C,https://m.media-amazon.com/images/I/61oNPlbiORL.jpg
B0CWKVXYK5,https://www.amazon.com/Lenovo-ThinKCentre-50q-Gen-Octa-Core/dp/B0CWKVXYK5,https://m.media-amazon.com/images/I/61vYEwQJ0TL.jpg
B0CKTNQW2K,https://www.amazon.com/Dell-Optiplex-3060-Computer-Professional/dp/B0CKTNQW2K,https://m.media-amazon.com/images/I/71cxZOG9AAL.jpg
B07GNDFSB8,https://www.amazon.com/Dell-OptiPlex-7040-Bit-Multi-Language-Supports/dp/B07GNDFSB8,https://m.media-amazon.com/images/I/61-MgG9cBwL.jpg
B08MR1YJWD,https://www.amazon.com/Dell-OptiPlex-5050-SFF-i5-7500-M-2-NVMe/dp/B08MR1YJWD,https://m.media-amazon.com/images/I/61kePNBZASL.jpg
B09P7NNZ74,https://www.amazon.com/Dell-OptiPlex-Small-Factor-Desktop/dp/B09P7NNZ74,https://m.media-amazon.com/images/I/71IgxIQY02L.jpg
B0FDGW5FXD,https://www.amazon.com/HP-OmniDesk-Premium-Business-External/dp/B0FDGW5FXD,https://m.media-amazon.com/images/I/61L4wS9cjXL.jpg
B0F2GQ8B42,https://www.amazon.com/Dell-Desktop-ec27250-27-inch-Processor-Graphics/dp/B0F2GQ8B42,https://m.media-amazon.com/images/I/71YCC00Vq-L.jpg
B0G1RX2MQY,https://www.amazon.com/Dell-27-Computer-Touchscreen-Wireless/dp/B0G1RX2MQY,https://m.media-amazon.com/images/I/71vOJdu5avL.jpg
B0DFCXH97Z,https://www.amazon.com/XC-1780-UA91-Desktop-i5-13400-10-Core-Processor/dp/B0DFCXH97Z,https://m.media-amazon.com/images/I/61X1H-GKUaL.jpg
B0CKWM6XDV,https://www.amazon.com/Dell-Optiplex-7060-Computer-Professional/dp/B0CKWM6XDV,https://m.media-amazon.com/images/I/71LsaW+dBcL.jpg
B09F94WLZV,https://www.amazon.com/HP-ProDesk-600-G2-DisplayPort/dp/B09F94WLZV,https://m.media-amazon.com/images/I/61YTj-MTGyL.jpg
B0D37XRCZZ,https://www.amazon.com/Dell-Ect1250-Tower-Desktop-Ultra/dp/B0D37XRCZZ,https://m.media-amazon.com/images/I/51P3OxLUqpL.jpg
B0DL75531G,https://www.amazon.com/Apple-2024-Desktop-Computer-8-core/dp/B0DL75531G,https://m.media-amazon.com/images/I/71RDE35cFIL.jpg
B0FTG5BLH3,https://www.amazon.com/Dell-Optiplex-Desktop-Computer-Keyboard/dp/B0FTG5BLH3,https://m.media-amazon.com/images/I/81nz9PqZodL.jpg
B07WLLR43R,https://www.amazon.com/Dell-Optiplex-7040-Micro-Desktop/dp/B07WLLR43R,https://m.media-amazon.com/images/I/61S-GD1vn1L.jpg
B0DM3HKZXD,https://www.amazon.com/HP-G9-Computer-Ultra-Quiet-Bluetooth/dp/B0DM3HKZXD,https://m.media-amazon.com/images/I/61foc4i3pJL.jpg
B0FG2WG7DM,https://www.amazon.com/Dell-OptiPlex-5060-SFF-Computers/dp/B0FG2WG7DM,https://m.media-amazon.com/images/I/61xHarC-vWL.jpg
B0CZDS18J4,https://www.amazon.com/Dell-OptiPlex-Computer-Keyboard-Bluetooth/dp/B0CZDS18J4,https://m.media-amazon.com/images/I/71kaj543WoL.jpg
B089QV23YJ,https://www.amazon.com/Dell-OptiPlex-9020-Computer-Wireless/dp/B089QV23YJ,https://m.media-amazon.com/images/I/71g6W6i8L3L.jpg
B0FJ3M7TM9,https://www.amazon.com/HP-400-Business-Processor-DisplayPorts/dp/B0FJ3M7TM9,https://m.media-amazon.com/images/I/713nkHFx67L.jpg
B0DQVLNB7R,https://www.amazon.com/HP-400-G9-Business-Computer/dp/B0DQVLNB7R,https://m.media-amazon.com/images/I/71guYPo+AvL.jpg
B0DL6S84XS,https://www.amazon.com/Apple-2024-Desktop-Computer-10-core/dp/B0DL6S84XS,https://m.media-amazon.com/images/I/710VJPOatmL.jpg
B0C6QYY9YP,https://www.amazon.com/Dell-Optiplex-5060-Computer-Professional/dp/B0C6QYY9YP,https://m.media-amazon.com/images/I/71P+W1LKibL.jpg
B07T7K8LVT,https://www.amazon.com/HP-Business-Desktop-ProDesk-Computer/dp/B07T7K8LVT,https://m.media-amazon.com/images/I/710HbotFboS.jpg
B09DQ9R6PV,https://www.amazon.com/Pro-Slim-QCS1250-Replaces-Optiplex/dp/B09DQ9R6PV,https://m.media-amazon.com/images/I/71F1FTWihqL.jpg
B08BS37H8C,https://www.amazon.com/HP-EliteDesk-Graphics-3-Monitor-Bluetooth/dp/B08BS37H8C,https://m.media-amazon.com/images/I/71htQAqu+0L.jpg
B0D74NCHSC,https://www.amazon.com/Dell-Optiplex-7070-Computer-Internal/dp/B0D74NCHSC,https://m.media-amazon.com/images/I/81yZGPgjQiL.jpg
B0F74NXJMZ,https://www.amazon.com/Dell-Optiplex-3070-Windows-Computer/dp/B0F74NXJMZ,https://m.media-amazon.com/images/I/71cFrieR1iL.jpg
B0FVQYBVGP,https://www.amazon.com/ASUS-Desktop-Processor-NVIDIA%C2%AE-G700TF-MS776/dp/B0FVQYBVGP,https://m.media-amazon.com/images/I/81-XOUG1MAL.jpg
B07FNZ95V2,https://www.amazon.com/OptiPlex-Desktop-Computer-Certified-Refurbished/dp/B07FNZ95V2,https://m.media-amazon.com/images/I/71TqdjeydvL.jpg
B099KSJN8P,https://www.amazon.com/KAMRUI-Windows-Desktop-Computer-Ethernet/dp/B099KSJN8P,https://m.media-amazon.com/images/I/61cq8WEgw-L.jpg
B0C1TGGC81,https://www.amazon.com/HP-ProDesk-600G4-Computer-Professional/dp/B0C1TGGC81,https://m.media-amazon.com/images/I/71fwLu7xNrL.jpg
B0CKTN5NYS,https://www.amazon.com/Dell-Precision-3630-Computer-Professional/dp/B0CKTN5NYS,https://m.media-amazon.com/images/I/71Fhr3YH4KL.jpg
B0C9TF2G27,https://www.amazon.com/Dell-OptiPlex-Computers-Bluetooth-Refurbished/dp/B0C9TF2G27,https://m.media-amazon.com/images/I/71SMSQy9CcL.jpg
