asin,url,image_url
B0F493SPV4,https://www.amazon.com/SAMSUNG-Resistant-International-Unlocked-T-Mobile/dp/B0F493SPV4,https://m.media-amazon.com/images/I/51obgsD3cML.jpg
B0F49DQKT8,https://www.amazon.com/SAMSUNG-Resistant-International-Unlocked-T-Mobile/dp/B0F49DQKT8,https://m.media-amazon.com/images/I/41CtyAEAmrL.jpg
B0F7M5FSRT,https://www.amazon.com/TracFone-Motorola-Activation-Promotion-Smartphone/dp/B0F7M5FSRT,https://m.media-amazon.com/images/I/71y7mfjjN1L.jpg
B088BF7ZDL,https://www.amazon.com/AT-DL72319-3-Handset-Cordless-Unsurpassed/dp/B088BF7ZDL,https://m.media-amazon.com/images/I/81l1HlcJsgL.jpg
B0DXHKH86B,https://www.amazon.com/Samsung-A36-Smartphone-Connectivity-Performance/dp/B0DXHKH86B,https://m.media-amazon.com/images/I/612jJWCgFcL.jpg
B0FMYX276H,https://www.amazon.com/BLU-Unlocked-Display-Android-Warranty/dp/B0FMYX276H,https://m.media-amazon.com/images/I/71GqZQu4Z9L.jpg
B0D8765X3Q,https://www.amazon.com/VTech-3-Handset-Full-Duplex-Speakerphone-VG232-3/dp/B0D8765X3Q,https://m.media-amazon.com/images/I/71nTOUOt9zL.jpg
B0DNLLMVBX,https://www.amazon.com/SAMSUNG-Version-SM-A065M-DS-Unlocked/dp/B0DNLLMVBX,https://m.media-amazon.com/images/I/61-l2Ui2sIL.jpg
B0G4D9K4V8,https://www.amazon.com/Unihertz-Titan-Physical-Smartphone-Compatible/dp/B0G4D9K4V8,https://m.media-amazon.com/images/I/61DkXabZzoL.jpg
B0FX95T727,https://www.amazon.com/Verizon-Prepaid-Alcatel-Smartphone-Long-Lasting/dp/B0FX95T727,https://m.media-amazon.com/images/I/71rG-jZ1LrL.jpg
B0BZFXBS38,https://www.amazon.com/Panasonic-Answering-Bilingual-High-Contrast-Expandable/dp/B0BZFXBS38,https://m.media-amazon.com/images/I/71isTHvtYoL.jpg
B08B8Y5R4Y,https://www.amazon.com/Samsung-Galaxy-S20-5G-Cosmic/dp/B08B8Y5R4Y,https://m.media-amazon.com/images/I/61uy0v+43CL.jpg
B0DKTTRW27,https://www.amazon.com/VTech-IS8128-41-4-Handset-Answering-Bluetooth/dp/B0DKTTRW27,https://m.media-amazon.com/images/I/71y786Jd8TL.jpg
B086R819LS,https://www.amazon.com/VTech-IS8151-5-Answering-Bluetooth-Expandable/dp/B086R819LS,https://m.media-amazon.com/images/I/817N3Lf0hEL.jpg
B0CTQDMHBH,https://www.amazon.com/VTech-VG131-11-DECT-Cordless-Phone/dp/B0CTQDMHBH,https://m.media-amazon.com/images/I/71nvHU94v5L.jpg
