asin,url,image_url,categories
B0DC6KMWJS,https://www.amazon.com/dp/B0DC6KMWJS,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0G5P8Q4LR,https://www.amazon.com/dp/B0G5P8Q4LR,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0FR1P4Q3H,https://www.amazon.com/dp/B0FR1P4Q3H,https://m.media-amazon.com/images/I/31LvC2u8SuL._SS64_.jpg,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0GFCPZ446,https://www.amazon.com/dp/B0GFCPZ446,https://m.media-amazon.com/images/I/31CV27hDgPL._SS64_.jpg,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0G6HGWG1M,https://www.amazon.com/dp/B0G6HGWG1M,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Desktops"", ""Minis""]"
B0G6HKGLHN,https://www.amazon.com/dp/B0G6HKGLHN,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Desktops"", ""Minis""]"
B0G6GQWC9V,https://www.amazon.com/dp/B0G6GQWC9V,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Desktops"", ""Minis""]"
B0G6GTB3C6,https://www.amazon.com/dp/B0G6GTB3C6,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Desktops"", ""Minis""]"
B0G6HGXJ8Z,https://www.amazon.com/dp/B0G6HGXJ8Z,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Desktops"", ""Minis""]"
B0G6GMCPWZ,https://www.amazon.com/dp/B0G6GMCPWZ,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Desktops"", ""Minis""]"
B0G6HPNW1K,https://www.amazon.com/dp/B0G6HPNW1K,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Desktops"", ""Minis""]"
B0G6GM1Y8G,https://www.amazon.com/dp/B0G6GM1Y8G,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Desktops"", ""Minis""]"
B0G62VSJZ9,https://www.amazon.com/dp/B0G62VSJZ9,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets""]"
B0G228KLHV,https://www.amazon.com/dp/B0G228KLHV,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets""]"
B0GSQ6STKV,https://www.amazon.com/dp/B0GSQ6STKV,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets""]"
B0G6YM5X89,https://www.amazon.com/dp/B0G6YM5X89,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets""]"
B0GSVLNMBK,https://www.amazon.com/dp/B0GSVLNMBK,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets""]"
B0GQXVLNZW,https://www.amazon.com/dp/B0GQXVLNZW,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets""]"
B0G4B33S9P,https://www.amazon.com/dp/B0G4B33S9P,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets""]"
B0GH6NZ9MD,https://www.amazon.com/dp/B0GH6NZ9MD,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Desktops"", ""All-in-Ones""]"
B0GGR1P79W,https://www.amazon.com/dp/B0GGR1P79W,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Desktops"", ""All-in-Ones""]"
B0GH5WK6ZM,https://www.amazon.com/dp/B0GH5WK6ZM,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Desktops"", ""All-in-Ones""]"
B0GL9QXB1D,https://www.amazon.com/dp/B0GL9QXB1D,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Desktops"", ""All-in-Ones""]"
B0GRQ3WJM8,https://www.amazon.com/dp/B0GRQ3WJM8,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0G4Q97KLH,https://www.amazon.com/dp/B0G4Q97KLH,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0G3Q48SVJ,https://www.amazon.com/dp/B0G3Q48SVJ,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0GRPX9GY8,https://www.amazon.com/dp/B0GRPX9GY8,https://m.media-amazon.com/images/I/414pEaGLsxL._SS64_.jpg,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0GRPSCTV7,https://www.amazon.com/dp/B0GRPSCTV7,https://m.media-amazon.com/images/I/41M034XQuVL._SS64_.jpg,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0GRPV7HRY,https://www.amazon.com/dp/B0GRPV7HRY,https://m.media-amazon.com/images/I/41aO5YdrbGL._SS64_.jpg,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0GRQ4B6DX,https://www.amazon.com/dp/B0GRQ4B6DX,https://m.media-amazon.com/images/I/41f3tbaOhKL._SS64_.jpg,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0FT942PNG,https://www.amazon.com/dp/B0FT942PNG,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets""]"
B0GDRXCMKQ,https://www.amazon.com/dp/B0GDRXCMKQ,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets""]"
B0GDR69P3B,https://www.amazon.com/dp/B0GDR69P3B,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets""]"
B0FKCX6Q3B,https://www.amazon.com/dp/B0FKCX6Q3B,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets""]"
B0FLD52JDH,https://www.amazon.com/dp/B0FLD52JDH,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets""]"
B0FKCW36YX,https://www.amazon.com/dp/B0FKCW36YX,https://m.media-amazon.com/images/I/61-72FelUlL._SS64_.jpg,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets""]"
B0FKD82C51,https://www.amazon.com/dp/B0FKD82C51,https://m.media-amazon.com/images/I/61tYVgjABML._SS64_.jpg,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets""]"
B0FKD57CRK,https://www.amazon.com/dp/B0FKD57CRK,https://m.media-amazon.com/images/I/61-kT1BNJOL._SS64_.jpg,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets""]"
B0FKDDT2GF,https://www.amazon.com/dp/B0FKDDT2GF,https://m.media-amazon.com/images/I/61bAez-PdmL._SS64_.jpg,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets""]"
B0G771XYNV,https://www.amazon.com/dp/B0G771XYNV,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0GVDTBJ92,https://www.amazon.com/dp/B0GVDTBJ92,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0GVDQK1D4,https://www.amazon.com/dp/B0GVDQK1D4,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0GVDSW8KN,https://www.amazon.com/dp/B0GVDSW8KN,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0GVDQFSDR,https://www.amazon.com/dp/B0GVDQFSDR,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B09SBQ61BG,https://www.amazon.com/dp/B09SBQ61BG,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0G5NZQ2F7,https://www.amazon.com/dp/B0G5NZQ2F7,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0CZL2SLCJ,https://www.amazon.com/dp/B0CZL2SLCJ,https://m.media-amazon.com/images/I/21GPeh-pCYL._SS64_.jpg,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0FPD6TTYY,https://www.amazon.com/dp/B0FPD6TTYY,https://m.media-amazon.com/images/I/2149xt8w7XL._SS64_.jpg,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0FPDBC6KH,https://www.amazon.com/dp/B0FPDBC6KH,https://m.media-amazon.com/images/I/21YWBxAFgFL._SS64_.jpg,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0G4VMLBKP,https://www.amazon.com/dp/B0G4VMLBKP,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0C3RPLW47,https://www.amazon.com/dp/B0C3RPLW47,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0DXL6SQJ1,https://www.amazon.com/dp/B0DXL6SQJ1,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0DV5RMTVZ,https://www.amazon.com/dp/B0DV5RMTVZ,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0DV5QSCV1,https://www.amazon.com/dp/B0DV5QSCV1,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0DV5R3Y6B,https://www.amazon.com/dp/B0DV5R3Y6B,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0F6LVRLFQ,https://www.amazon.com/dp/B0F6LVRLFQ,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0CQ5KBKT4,https://www.amazon.com/dp/B0CQ5KBKT4,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0CW632VB9,https://www.amazon.com/dp/B0CW632VB9,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]"
B0DSGJZW9Q,https://www.amazon.com/dp/B0DSGJZW9Q,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Desktops"", ""Towers""]"
B0DSGJRGM1,https://www.amazon.com/dp/B0DSGJRGM1,,"[""Computer"", ""HP"", ""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Desktops"", ""Towers""]"
