asin,url,image_url,category
B0BN1SLZ9F,https://www.amazon.com/dp/B0BN1SLZ9F,,Desktop
B0CKTM52YC,https://www.amazon.com/dp/B0CKTM52YC,,Desktop
B0CKTMTT6N,https://www.amazon.com/dp/B0CKTMTT6N,,Desktop
B0CKTLMVZ1,https://www.amazon.com/dp/B0CKTLMVZ1,,Desktop
B0BS1V7ZZB,https://www.amazon.com/dp/B0BS1V7ZZB,,Desktop
B0CKTLMVZJ,https://www.amazon.com/dp/B0CKTLMVZJ,,Desktop
B0CKTNQW2K,https://www.amazon.com/dp/B0CKTNQW2K,,Desktop
B09R6H1Z6H,https://www.amazon.com/dp/B09R6H1Z6H,,Desktop
B0FPMSMK1C,https://www.amazon.com/dp/B0FPMSMK1C,,Desktop
B0FDB3STMB,https://www.amazon.com/dp/B0FDB3STMB,,Desktop
B0CWKVXYK5,https://www.amazon.com/dp/B0CWKVXYK5,,Desktop
B0DPGRGF7S,https://www.amazon.com/dp/B0DPGRGF7S,,Desktop
B0F854GHFB,https://www.amazon.com/dp/B0F854GHFB,,Desktop
B0CH4LHSF3,https://www.amazon.com/dp/B0CH4LHSF3,,Desktop
B0G59YD74Q,https://www.amazon.com/dp/B0G59YD74Q,,Desktop
B0G8SGMDLF,https://www.amazon.com/dp/B0G8SGMDLF,,Desktop
B0GPRBS11Q,https://www.amazon.com/dp/B0GPRBS11Q,,Desktop
B09XK94491,https://www.amazon.com/dp/B09XK94491,,Desktop
B09XK9LHG5,https://www.amazon.com/dp/B09XK9LHG5,https://m.media-amazon.com/images/I/41MP8ZV+1HL._SS64_.jpg,Desktop
B09XKBZ4RZ,https://www.amazon.com/dp/B09XKBZ4RZ,https://m.media-amazon.com/images/I/41MP8ZV+1HL._SS64_.jpg,Desktop
B09XK8JW39,https://www.amazon.com/dp/B09XK8JW39,https://m.media-amazon.com/images/I/41MP8ZV+1HL._SS64_.jpg,Desktop
B0B1DK5CLT,https://www.amazon.com/dp/B0B1DK5CLT,,Desktop
B0FG2WG7DM,https://www.amazon.com/dp/B0FG2WG7DM,,Desktop
B07N1TZS7P,https://www.amazon.com/dp/B07N1TZS7P,,Desktop
B0BN2399P3,https://www.amazon.com/dp/B0BN2399P3,,Desktop
B0FXXGJBD8,https://www.amazon.com/dp/B0FXXGJBD8,,Desktop
B0FXXF8YYY,https://www.amazon.com/dp/B0FXXF8YYY,,Desktop
B0FXXL1NCL,https://www.amazon.com/dp/B0FXXL1NCL,,Desktop
B0FXXKB1C6,https://www.amazon.com/dp/B0FXXKB1C6,,Desktop
B0FXXK97ZZ,https://www.amazon.com/dp/B0FXXK97ZZ,,Desktop
B0FVFH3SY7,https://www.amazon.com/dp/B0FVFH3SY7,,Desktop
B0B888DPGV,https://www.amazon.com/dp/B0B888DPGV,,Desktop
B0BGBWJFWW,https://www.amazon.com/dp/B0BGBWJFWW,,Desktop
B0D78Z2645,https://www.amazon.com/dp/B0D78Z2645,,Desktop
B0FX2SXYHW,https://www.amazon.com/dp/B0FX2SXYHW,,Desktop
B0FJG9ZWFG,https://www.amazon.com/dp/B0FJG9ZWFG,,Desktop
B0CHWPQNGF,https://www.amazon.com/dp/B0CHWPQNGF,,Desktop
B08F7ZCTZD,https://www.amazon.com/dp/B08F7ZCTZD,,Desktop
B0DM3HKZXD,https://www.amazon.com/dp/B0DM3HKZXD,,Desktop
B0G6HGWG1M,https://www.amazon.com/dp/B0G6HGWG1M,,Desktop
B0G6H4N98W,https://www.amazon.com/dp/B0G6H4N98W,,Desktop
B0G6GKPYDM,https://www.amazon.com/dp/B0G6GKPYDM,,Desktop
B0G6HKGLHN,https://www.amazon.com/dp/B0G6HKGLHN,,Desktop
B0G6GQWC9V,https://www.amazon.com/dp/B0G6GQWC9V,,Desktop
B0G6GTB3C6,https://www.amazon.com/dp/B0G6GTB3C6,,Desktop
B0G6HPNW1K,https://www.amazon.com/dp/B0G6HPNW1K,,Desktop
B0G6GL636T,https://www.amazon.com/dp/B0G6GL636T,,Desktop
B07K6YG7YY,https://www.amazon.com/dp/B07K6YG7YY,,Desktop
B0GBZXGJMR,https://www.amazon.com/dp/B0GBZXGJMR,,Desktop
B0FM38DNK7,https://www.amazon.com/dp/B0FM38DNK7,,Desktop
B0FM398MVJ,https://www.amazon.com/dp/B0FM398MVJ,,Desktop
B0FM38B444,https://www.amazon.com/dp/B0FM38B444,,Desktop
B0FM37XVQJ,https://www.amazon.com/dp/B0FM37XVQJ,,Desktop
B0FM3BR1PF,https://www.amazon.com/dp/B0FM3BR1PF,,Desktop
B0FM38TQD9,https://www.amazon.com/dp/B0FM38TQD9,,Desktop
B0FM38YP1X,https://www.amazon.com/dp/B0FM38YP1X,,Desktop
B0FS6ZDVB3,https://www.amazon.com/dp/B0FS6ZDVB3,,Desktop
B0FDGW5FXD,https://www.amazon.com/dp/B0FDGW5FXD,,Desktop
B0FDGWBBQ7,https://www.amazon.com/dp/B0FDGWBBQ7,,Desktop
B0FDGSNQZ5,https://www.amazon.com/dp/B0FDGSNQZ5,,Desktop
B0FDGXVGF5,https://www.amazon.com/dp/B0FDGXVGF5,,Desktop
B0FDGZJ1HL,https://www.amazon.com/dp/B0FDGZJ1HL,,Desktop
B0FDGTW7WX,https://www.amazon.com/dp/B0FDGTW7WX,,Desktop
B0FDGX8BKC,https://www.amazon.com/dp/B0FDGX8BKC,,Desktop
B0FDGWLWC4,https://www.amazon.com/dp/B0FDGWLWC4,,Desktop
B0G7VG8FV3,https://www.amazon.com/dp/B0G7VG8FV3,,Desktop
B09F94WLZV,https://www.amazon.com/dp/B09F94WLZV,,Desktop
B0DQVLNB7R,https://www.amazon.com/dp/B0DQVLNB7R,,Desktop
B0DSGJZW9Q,https://www.amazon.com/dp/B0DSGJZW9Q,,Desktop
B0DSGJRGM1,https://www.amazon.com/dp/B0DSGJRGM1,,Desktop
B0DQVNBW42,https://www.amazon.com/dp/B0DQVNBW42,,Desktop
B0DQVP24BP,https://www.amazon.com/dp/B0DQVP24BP,,Desktop
B0DSGKC1C9,https://www.amazon.com/dp/B0DSGKC1C9,,Desktop
B0DPXMH199,https://www.amazon.com/dp/B0DPXMH199,,Desktop
B0G1CFZQ1Y,https://www.amazon.com/dp/B0G1CFZQ1Y,,Desktop
B0FGDT5CKQ,https://www.amazon.com/dp/B0FGDT5CKQ,,Desktop
B0FGDQYPGX,https://www.amazon.com/dp/B0FGDQYPGX,,Desktop
B0FGDRFYLY,https://www.amazon.com/dp/B0FGDRFYLY,,Desktop
B0BM34K8RT,https://www.amazon.com/dp/B0BM34K8RT,,Desktop
B0BC7S9R5C,https://www.amazon.com/dp/B0BC7S9R5C,,Desktop
B0GCHZZPL9,https://www.amazon.com/dp/B0GCHZZPL9,,Desktop
B0GK9HFN17,https://www.amazon.com/dp/B0GK9HFN17,,Desktop
B0DQPVC7FG,https://www.amazon.com/dp/B0DQPVC7FG,,Desktop
B0FGV8RJ2M,https://www.amazon.com/dp/B0FGV8RJ2M,,Desktop
B0D5LGMYY7,https://www.amazon.com/dp/B0D5LGMYY7,,Desktop
B0GHYGGXRZ,https://www.amazon.com/dp/B0GHYGGXRZ,,Desktop
B0GCJ38NST,https://www.amazon.com/dp/B0GCJ38NST,,Desktop
B0GCD3DW53,https://www.amazon.com/dp/B0GCD3DW53,,Desktop
B099KSJN8P,https://www.amazon.com/dp/B099KSJN8P,,Desktop
B0C2ZLT9SN,https://www.amazon.com/dp/B0C2ZLT9SN,,Desktop
B0C2ZKWQ7T,https://www.amazon.com/dp/B0C2ZKWQ7T,,Desktop
B0C2ZKQ5PC,https://www.amazon.com/dp/B0C2ZKQ5PC,,Desktop
B0C2ZMH6GK,https://www.amazon.com/dp/B0C2ZMH6GK,,Desktop
B0GJ4V995N,https://www.amazon.com/dp/B0GJ4V995N,,Desktop
B0DFCXH97Z,https://www.amazon.com/dp/B0DFCXH97Z,,Desktop
B09V1LKTPH,https://www.amazon.com/dp/B09V1LKTPH,,Desktop
B0D81CM8SF,https://www.amazon.com/dp/B0D81CM8SF,,Desktop
B0DFCWF6WV,https://www.amazon.com/dp/B0DFCWF6WV,,Desktop
B0D3RMNLY2,https://www.amazon.com/dp/B0D3RMNLY2,,Desktop
B0B49H1NVX,https://www.amazon.com/dp/B0B49H1NVX,,Desktop
B0FTG5BLH3,https://www.amazon.com/dp/B0FTG5BLH3,,Desktop
B0BLQNXY8B,https://www.amazon.com/dp/B0BLQNXY8B,,Desktop
B0FS7X1LNH,https://www.amazon.com/dp/B0FS7X1LNH,,Desktop
B0FQJJ2STC,https://www.amazon.com/dp/B0FQJJ2STC,,Desktop
B0FTMBPLRG,https://www.amazon.com/dp/B0FTMBPLRG,,Desktop
B0FR6PC2Z8,https://www.amazon.com/dp/B0FR6PC2Z8,,Desktop
B0FTG85KWK,https://www.amazon.com/dp/B0FTG85KWK,,Desktop
B0FS7YKFDR,https://www.amazon.com/dp/B0FS7YKFDR,,Desktop
B0FRFTMCCQ,https://www.amazon.com/dp/B0FRFTMCCQ,,Desktop
B0DD6WH7Y5,https://www.amazon.com/dp/B0DD6WH7Y5,,Desktop
B0FS7YHV2Y,https://www.amazon.com/dp/B0FS7YHV2Y,,Desktop
B0FY3N8SZ3,https://www.amazon.com/dp/B0FY3N8SZ3,,Desktop
B0GTLRW5DD,https://www.amazon.com/dp/B0GTLRW5DD,,Desktop
B0GTLLVV6W,https://www.amazon.com/dp/B0GTLLVV6W,,Desktop
B0FX1XMKDC,https://www.amazon.com/dp/B0FX1XMKDC,,Desktop
B0G1F7H8MN,https://www.amazon.com/dp/B0G1F7H8MN,,Desktop
B0GQH6HFPV,https://www.amazon.com/dp/B0GQH6HFPV,,Desktop
B0FDB9257F,https://www.amazon.com/dp/B0FDB9257F,,Desktop
B0G51RKYFD,https://www.amazon.com/dp/B0G51RKYFD,,Desktop
B0FX23P2RM,https://www.amazon.com/dp/B0FX23P2RM,,Desktop
B0FDWJX6PR,https://www.amazon.com/dp/B0FDWJX6PR,,Desktop
B0G51NJWGP,https://www.amazon.com/dp/B0G51NJWGP,,Desktop
B09P7NNZ74,https://www.amazon.com/dp/B09P7NNZ74,,Desktop
B089QV23YJ,https://www.amazon.com/dp/B089QV23YJ,,Desktop
B0G4RB5H12,https://www.amazon.com/dp/B0G4RB5H12,,Desktop
B0CKTLDTPX,https://www.amazon.com/dp/B0CKTLDTPX,,Desktop
B0CKTN5NYS,https://www.amazon.com/dp/B0CKTN5NYS,,Desktop
B0BTTZ4KBW,https://www.amazon.com/dp/B0BTTZ4KBW,,Desktop
B0D74NCHSC,https://www.amazon.com/dp/B0D74NCHSC,,Desktop
B0D74MG2ZR,https://www.amazon.com/dp/B0D74MG2ZR,,Desktop
B09WZXMZ5L,https://www.amazon.com/dp/B09WZXMZ5L,,Desktop
B09WZXQJ8F,https://www.amazon.com/dp/B09WZXQJ8F,,Desktop
B09WZXH1NK,https://www.amazon.com/dp/B09WZXH1NK,,Desktop
B0GJ4Z1BSQ,https://www.amazon.com/dp/B0GJ4Z1BSQ,,Desktop
B0CKTMP7GX,https://www.amazon.com/dp/B0CKTMP7GX,,Desktop
B0CKTM2G4F,https://www.amazon.com/dp/B0CKTM2G4F,,Desktop
B0CKTM3368,https://www.amazon.com/dp/B0CKTM3368,,Desktop
B0FJ3M7TM9,https://www.amazon.com/dp/B0FJ3M7TM9,,Desktop
B0FJ32V1BS,https://www.amazon.com/dp/B0FJ32V1BS,,Desktop
B0FJ31LL8V,https://www.amazon.com/dp/B0FJ31LL8V,,Desktop
B0FJ36KN5N,https://www.amazon.com/dp/B0FJ36KN5N,,Desktop
B0FJ46CFRQ,https://www.amazon.com/dp/B0FJ46CFRQ,,Desktop
B0C4G5G4HD,https://www.amazon.com/dp/B0C4G5G4HD,,Desktop
B0C4G6QM7K,https://www.amazon.com/dp/B0C4G6QM7K,,Desktop
B0BSG52TV5,https://www.amazon.com/dp/B0BSG52TV5,,Desktop
B0FY8LW174,https://www.amazon.com/dp/B0FY8LW174,,Desktop
B0C4G5QVKV,https://www.amazon.com/dp/B0C4G5QVKV,,Desktop
B0C4G3S2XB,https://www.amazon.com/dp/B0C4G3S2XB,,Desktop
B0FW4N61K8,https://www.amazon.com/dp/B0FW4N61K8,,Desktop
B0GB5V7RWB,https://www.amazon.com/dp/B0GB5V7RWB,,Desktop
B0GB5C7TC2,https://www.amazon.com/dp/B0GB5C7TC2,,Desktop
B0GB5NQ7TN,https://www.amazon.com/dp/B0GB5NQ7TN,,Desktop
B08BS37H8C,https://www.amazon.com/dp/B08BS37H8C,,Desktop
B09DQ9R6PV,https://www.amazon.com/dp/B09DQ9R6PV,,Desktop
B09DQ7R431,https://www.amazon.com/dp/B09DQ7R431,,Desktop
