asin,url,image_url,category
B0DS6WPTLL,https://www.amazon.com/dp/B0DS6WPTLL,,GPU
B0CQRX9HPK,https://www.amazon.com/dp/B0CQRX9HPK,,GPU
B0DKMDPBHH,https://www.amazon.com/dp/B0DKMDPBHH,,GPU
B0FFKWFMYM,https://www.amazon.com/dp/B0FFKWFMYM,,GPU
B0D7KTZHXN,https://www.amazon.com/dp/B0D7KTZHXN,,GPU
B0DS6V1YSY,https://www.amazon.com/dp/B0DS6V1YSY,,GPU
B0DS6S98ZF,https://www.amazon.com/dp/B0DS6S98ZF,,GPU
B0BZTF7LFK,https://www.amazon.com/dp/B0BZTF7LFK,,GPU
B0F8L93H53,https://www.amazon.com/dp/B0F8L93H53,,GPU
B0BZTDZL7J,https://www.amazon.com/dp/B0BZTDZL7J,,GPU
B0CQPZ1V9N,https://www.amazon.com/dp/B0CQPZ1V9N,,GPU
B0FST71VP9,https://www.amazon.com/dp/B0FST71VP9,,GPU
B0DYFXGDJF,https://www.amazon.com/dp/B0DYFXGDJF,,GPU
B0DNV4NWF7,https://www.amazon.com/dp/B0DNV4NWF7,,GPU
B0DNV4NRK5,https://www.amazon.com/dp/B0DNV4NRK5,,GPU
B0DYPGBX6J,https://www.amazon.com/dp/B0DYPGBX6J,,GPU
B0GSXJPTLN,https://www.amazon.com/dp/B0GSXJPTLN,,GPU
B0DYPFGL88,https://www.amazon.com/dp/B0DYPFGL88,,GPU
B0FLHBFFX4,https://www.amazon.com/dp/B0FLHBFFX4,,GPU
B0F8PPT3G1,https://www.amazon.com/dp/B0F8PPT3G1,,GPU
B0D95RBQ9F,https://www.amazon.com/dp/B0D95RBQ9F,,GPU
B0F8PR76W4,https://www.amazon.com/dp/B0F8PR76W4,,GPU
B0FLH14CMK,https://www.amazon.com/dp/B0FLH14CMK,,GPU
B0DNP7Q1PH,https://www.amazon.com/dp/B0DNP7Q1PH,,GPU
B0CS8Z9YBB,https://www.amazon.com/dp/B0CS8Z9YBB,,GPU
B0DS2R6948,https://www.amazon.com/dp/B0DS2R6948,,GPU
B0DT7HVT16,https://www.amazon.com/dp/B0DT7HVT16,,GPU
B0DS2R7N4F,https://www.amazon.com/dp/B0DS2R7N4F,,GPU
B0BMN5J1XJ,https://www.amazon.com/dp/B0BMN5J1XJ,,GPU
B0DTQMLX4F,https://www.amazon.com/dp/B0DTQMLX4F,,GPU
B0DTR3WM7Y,https://www.amazon.com/dp/B0DTR3WM7Y,,GPU
B0DTQNSRZG,https://www.amazon.com/dp/B0DTQNSRZG,,GPU
B0DTR3JK3Y,https://www.amazon.com/dp/B0DTR3JK3Y,,GPU
B0BZHCQ6PF,https://www.amazon.com/dp/B0BZHCQ6PF,,GPU
B0CSJY5PCZ,https://www.amazon.com/dp/B0CSJY5PCZ,,GPU
B0DTQTJQGZ,https://www.amazon.com/dp/B0DTQTJQGZ,,GPU
B0DTR54HZZ,https://www.amazon.com/dp/B0DTR54HZZ,,GPU
B0BZHFLRLM,https://www.amazon.com/dp/B0BZHFLRLM,,GPU
B0DQSMMCSH,https://www.amazon.com/dp/B0DQSMMCSH,,GPU
B0FQM4N5RP,https://www.amazon.com/dp/B0FQM4N5RP,,GPU
B0DQSLHSP2,https://www.amazon.com/dp/B0DQSLHSP2,,GPU
B0FSB9GY9Q,https://www.amazon.com/dp/B0FSB9GY9Q,,GPU
B0DQSD7YQC,https://www.amazon.com/dp/B0DQSD7YQC,,GPU
B0CQPZTRL3,https://www.amazon.com/dp/B0CQPZTRL3,,GPU
B0DTPG3B1N,https://www.amazon.com/dp/B0DTPG3B1N,,GPU
B0FSP9H8BN,https://www.amazon.com/dp/B0FSP9H8BN,,GPU
B0FKX6LPR6,https://www.amazon.com/dp/B0FKX6LPR6,,GPU
B0CSZCV12L,https://www.amazon.com/dp/B0CSZCV12L,,GPU
B0DTN9C7CZ,https://www.amazon.com/dp/B0DTN9C7CZ,,GPU
B0DS6WTXGP,https://www.amazon.com/dp/B0DS6WTXGP,,GPU
B0G275RRVH,https://www.amazon.com/dp/B0G275RRVH,,GPU
B0FMC7V6X7,https://www.amazon.com/dp/B0FMC7V6X7,,GPU
B0FFKYJBDT,https://www.amazon.com/dp/B0FFKYJBDT,,GPU
B0CQPXD5WD,https://www.amazon.com/dp/B0CQPXD5WD,,GPU
B0DS6WGWMK,https://www.amazon.com/dp/B0DS6WGWMK,,GPU
B0CRHMNVZF,https://www.amazon.com/dp/B0CRHMNVZF,,GPU
B0G9GXXXFV,https://www.amazon.com/dp/B0G9GXXXFV,https://m.media-amazon.com/images/I/417CSdmUxJL._SS64_.jpg,GPU
B0DZZ3Z9FJ,https://www.amazon.com/dp/B0DZZ3Z9FJ,,GPU
B0DTQVHQ6G,https://www.amazon.com/dp/B0DTQVHQ6G,,GPU
B0F8LNS15L,https://www.amazon.com/dp/B0F8LNS15L,,GPU
B0F8MPT3Y1,https://www.amazon.com/dp/B0F8MPT3Y1,,GPU
B0C8K441T1,https://www.amazon.com/dp/B0C8K441T1,,GPU
B0FFQJBZDM,https://www.amazon.com/dp/B0FFQJBZDM,,GPU
B0F8L759L4,https://www.amazon.com/dp/B0F8L759L4,,GPU
B0F8LDHQ7Y,https://www.amazon.com/dp/B0F8LDHQ7Y,,GPU
B0FFQCW6RB,https://www.amazon.com/dp/B0FFQCW6RB,,GPU
B0DKFMSMYK,https://www.amazon.com/dp/B0DKFMSMYK,,GPU
B0DYVCGVK4,https://www.amazon.com/dp/B0DYVCGVK4,,GPU
B0CS6MH7G3,https://www.amazon.com/dp/B0CS6MH7G3,,GPU
B0BS1G3B7P,https://www.amazon.com/dp/B0BS1G3B7P,https://m.media-amazon.com/images/I/514P98OEctL._SS64_.jpg,GPU
B0DTRC7782,https://www.amazon.com/dp/B0DTRC7782,,GPU
B0DTRCBYQC,https://www.amazon.com/dp/B0DTRCBYQC,,GPU
B0DTR7GWG6,https://www.amazon.com/dp/B0DTR7GWG6,,GPU
B0DTR8FDMN,https://www.amazon.com/dp/B0DTR8FDMN,,GPU
B0BRR2R8HH,https://www.amazon.com/dp/B0BRR2R8HH,,GPU
B0DS6V7L5M,https://www.amazon.com/dp/B0DS6V7L5M,,GPU
B0D1B5DDVS,https://www.amazon.com/dp/B0D1B5DDVS,,GPU
B0DC1WFPZF,https://www.amazon.com/dp/B0DC1WFPZF,,GPU
B0FSNPHV7M,https://www.amazon.com/dp/B0FSNPHV7M,,GPU
B0DS6WFRBP,https://www.amazon.com/dp/B0DS6WFRBP,,GPU
B0CSF8G1PR,https://www.amazon.com/dp/B0CSF8G1PR,,GPU
B0DNMH4KQM,https://www.amazon.com/dp/B0DNMH4KQM,,GPU
