asin,url,image_url,category
B0FPCJF1H2,https://www.amazon.com/dp/B0FPCJF1H2,,Headphone
B0FH1XBGN7,https://www.amazon.com/dp/B0FH1XBGN7,,Headphone
B0FGXSSB1Y,https://www.amazon.com/dp/B0FGXSSB1Y,,Headphone
B0FH1WWM1K,https://www.amazon.com/dp/B0FH1WWM1K,,Headphone
B0FPLVRRRY,https://www.amazon.com/dp/B0FPLVRRRY,,Headphone
B0DY8TS92J,https://www.amazon.com/dp/B0DY8TS92J,https://m.media-amazon.com/images/I/31wZqFBwjZL._SS64_.jpg,Headphone
B0GJXGM39L,https://www.amazon.com/dp/B0GJXGM39L,https://m.media-amazon.com/images/I/61dK37r1d4L.jpg,Headphone
B0FM4P39F7,https://www.amazon.com/dp/B0FM4P39F7,https://m.media-amazon.com/images/I/61IDdOat9UL.jpg,Headphone
B0DZC8H6X9,https://www.amazon.com/dp/B0DZC8H6X9,https://m.media-amazon.com/images/I/71Fe4udA7iL.jpg,Headphone
B08TMTFR6B,https://www.amazon.com/dp/B08TMTFR6B,https://m.media-amazon.com/images/I/61VItRJ7pcL.jpg,Headphone
B0C24WC46M,https://www.amazon.com/dp/B0C24WC46M,https://m.media-amazon.com/images/I/61yHco6LIqL.jpg,Headphone
B0FJ44ZNKT,https://www.amazon.com/dp/B0FJ44ZNKT,https://m.media-amazon.com/images/I/71XD9i25NoL.jpg,Headphone
B0FKG6TDRR,https://www.amazon.com/dp/B0FKG6TDRR,https://m.media-amazon.com/images/I/61PY2aeM3qL.jpg,Headphone
B0FSLHR655,https://www.amazon.com/dp/B0FSLHR655,https://m.media-amazon.com/images/I/61pALSZAjlL.jpg,Headphone
B0GKFYF1G3,https://www.amazon.com/dp/B0GKFYF1G3,https://m.media-amazon.com/images/I/51PYecuml4L.jpg,Headphone
B07CKVBWNY,https://www.amazon.com/dp/B07CKVBWNY,https://m.media-amazon.com/images/I/61Z2ctsj0gL.jpg,Headphone
B08HDBZNZ9,https://www.amazon.com/dp/B08HDBZNZ9,https://m.media-amazon.com/images/I/61KQKnlrTVL.jpg,Headphone
B0G9L2TNYZ,https://www.amazon.com/dp/B0G9L2TNYZ,https://m.media-amazon.com/images/I/71Y9JmwNr7L.jpg,Headphone
