asin,url,image_url,category
B0CGD7T1XM,https://www.amazon.com/dp/B0CGD7T1XM,,Laptop
B0G66MVN1H,https://www.amazon.com/dp/B0G66MVN1H,,Laptop
B0G66T7FN4,https://www.amazon.com/dp/B0G66T7FN4,,Laptop
B09DB2MG5M,https://www.amazon.com/dp/B09DB2MG5M,,Laptop
B0G66TVKKY,https://www.amazon.com/dp/B0G66TVKKY,,Laptop
B0F1Z2PSL9,https://www.amazon.com/dp/B0F1Z2PSL9,https://m.media-amazon.com/images/I/617DY34HlmL.jpg,Laptop
B0F38GNKD3,https://www.amazon.com/dp/B0F38GNKD3,https://m.media-amazon.com/images/I/71AqHpBduPL.jpg,Laptop
B0G2RXZ4ST,https://www.amazon.com/dp/B0G2RXZ4ST,https://m.media-amazon.com/images/I/7102X-2w72L.jpg,Laptop
B0G4Q97KLH,https://www.amazon.com/dp/B0G4Q97KLH,https://m.media-amazon.com/images/I/71liC-3v7fL.jpg,Laptop
B0FZ9THFGK,https://www.amazon.com/dp/B0FZ9THFGK,https://m.media-amazon.com/images/I/7127awbpXBL.jpg,Laptop
B0GK7MWF6J,https://www.amazon.com/dp/B0GK7MWF6J,https://m.media-amazon.com/images/I/71NR-KZljTL.jpg,Laptop
B0DPKN892H,https://www.amazon.com/dp/B0DPKN892H,https://m.media-amazon.com/images/I/819yzS-fesL.jpg,Laptop
B0F5GK9JJ8,https://www.amazon.com/dp/B0F5GK9JJ8,https://m.media-amazon.com/images/I/8145X-5cWyL.jpg,Laptop
