asin,url,image_url,category
B0C8ZKV5R9,https://www.amazon.com/dp/B0C8ZKV5R9,,Monitor
B0CVM2GJCN,https://www.amazon.com/dp/B0CVM2GJCN,,Monitor
B0C8ZJNZY8,https://www.amazon.com/dp/B0C8ZJNZY8,,Monitor
B0FN9H873W,https://www.amazon.com/dp/B0FN9H873W,,Monitor
B0FKJJGSSR,https://www.amazon.com/dp/B0FKJJGSSR,,Monitor
B0CZ17X8K7,https://www.amazon.com/dp/B0CZ17X8K7,,Monitor
B0DXR8QLJM,https://www.amazon.com/dp/B0DXR8QLJM,,Monitor
B0D9MK23S7,https://www.amazon.com/dp/B0D9MK23S7,,Monitor
B09KG5FW1G,https://www.amazon.com/dp/B09KG5FW1G,,Monitor
B0C4C69HG7,https://www.amazon.com/dp/B0C4C69HG7,,Monitor
B0FPRDTVMD,https://www.amazon.com/dp/B0FPRDTVMD,,Monitor
B0BY9NPLP4,https://www.amazon.com/dp/B0BY9NPLP4,,Monitor
B0FSBHS4RJ,https://www.amazon.com/dp/B0FSBHS4RJ,,Monitor
B0B9NNWXVP,https://www.amazon.com/dp/B0B9NNWXVP,,Monitor
B0CZDST99N,https://www.amazon.com/dp/B0CZDST99N,https://m.media-amazon.com/images/I/518EpNqHknL._SS64_.jpg,Monitor
B0C5MT537Z,https://www.amazon.com/dp/B0C5MT537Z,https://m.media-amazon.com/images/I/41KrJbepTkL._SS64_.jpg,Monitor
B0GJSDT9DZ,https://www.amazon.com/dp/B0GJSDT9DZ,https://m.media-amazon.com/images/I/51DD-Jrgw3L._SS64_.jpg,Monitor
B0BQDX438W,https://www.amazon.com/dp/B0BQDX438W,https://m.media-amazon.com/images/I/51mIFyTzinL._SS64_.jpg,Monitor
B0BT9Q1NG8,https://www.amazon.com/dp/B0BT9Q1NG8,https://m.media-amazon.com/images/I/41u2mBAvQ5L._SS64_.jpg,Monitor
B0D6CKL4HV,https://www.amazon.com/dp/B0D6CKL4HV,,Monitor
B0DK46JV64,https://www.amazon.com/dp/B0DK46JV64,,Monitor
B0DK468KVS,https://www.amazon.com/dp/B0DK468KVS,,Monitor
B0DK44759Y,https://www.amazon.com/dp/B0DK44759Y,,Monitor
B0GGRLM829,https://www.amazon.com/dp/B0GGRLM829,,Monitor
B09DCBJWDB,https://www.amazon.com/dp/B09DCBJWDB,https://m.media-amazon.com/images/I/51Vfv5KgKyL._SS64_.jpg,Monitor
B0FT21HKZ6,https://www.amazon.com/dp/B0FT21HKZ6,,Monitor
B0FHMS6993,https://www.amazon.com/dp/B0FHMS6993,,Monitor
B0F1GF1KFC,https://www.amazon.com/dp/B0F1GF1KFC,,Monitor
B0D9R7Q449,https://www.amazon.com/dp/B0D9R7Q449,,Monitor
B0DS2TCW9L,https://www.amazon.com/dp/B0DS2TCW9L,,Monitor
B0BQPSX5CR,https://www.amazon.com/dp/B0BQPSX5CR,,Monitor
B0D1DZNL3H,https://www.amazon.com/dp/B0D1DZNL3H,,Monitor
B0D3WGM8X8,https://www.amazon.com/dp/B0D3WGM8X8,,Monitor
B0FB46P6F6,https://www.amazon.com/dp/B0FB46P6F6,,Monitor
B0F1GD9YFN,https://www.amazon.com/dp/B0F1GD9YFN,,Monitor
B0F1H325FN,https://www.amazon.com/dp/B0F1H325FN,,Monitor
B0F1GFD44G,https://www.amazon.com/dp/B0F1GFD44G,,Monitor
B08WJ3GYC9,https://www.amazon.com/dp/B08WJ3GYC9,,Monitor
B0FHXY7VZ5,https://www.amazon.com/dp/B0FHXY7VZ5,,Monitor
B0F2KLX2T3,https://www.amazon.com/dp/B0F2KLX2T3,,Monitor
B0F1HNQTN2,https://www.amazon.com/dp/B0F1HNQTN2,,Monitor
B0F1GY8F7F,https://www.amazon.com/dp/B0F1GY8F7F,,Monitor
B0GLQXKKVY,https://www.amazon.com/dp/B0GLQXKKVY,,Monitor
B0GLRCN2SW,https://www.amazon.com/dp/B0GLRCN2SW,,Monitor
B0CHHSFMRL,https://www.amazon.com/dp/B0CHHSFMRL,,Monitor
B077SRKKHQ,https://www.amazon.com/dp/B077SRKKHQ,,Monitor
B0FC9K6WBZ,https://www.amazon.com/dp/B0FC9K6WBZ,,Monitor
B0CHHK97X5,https://www.amazon.com/dp/B0CHHK97X5,,Monitor
B0FJYNVR3R,https://www.amazon.com/dp/B0FJYNVR3R,,Monitor
B08MVBYWGQ,https://www.amazon.com/dp/B08MVBYWGQ,,Monitor
B0DHJ8B7TP,https://www.amazon.com/dp/B0DHJ8B7TP,,Monitor
B0D2KTG7NQ,https://www.amazon.com/dp/B0D2KTG7NQ,,Monitor
B0FDC84LWV,https://www.amazon.com/dp/B0FDC84LWV,,Monitor
B0DSGJRKCR,https://www.amazon.com/dp/B0DSGJRKCR,,Monitor
B0DS2S3GF2,https://www.amazon.com/dp/B0DS2S3GF2,,Monitor
B0GF49PV1T,https://www.amazon.com/dp/B0GF49PV1T,,Monitor
B0D8LH2VSP,https://www.amazon.com/dp/B0D8LH2VSP,,Monitor
B0GD1LMWH3,https://www.amazon.com/dp/B0GD1LMWH3,,Monitor
B0D3FGFPPB,https://www.amazon.com/dp/B0D3FGFPPB,,Monitor
B09BXXWT6K,https://www.amazon.com/dp/B09BXXWT6K,,Monitor
B0GD21577Z,https://www.amazon.com/dp/B0GD21577Z,,Monitor
B0DB9Q5G3R,https://www.amazon.com/dp/B0DB9Q5G3R,,Monitor
B0C6LSD69F,https://www.amazon.com/dp/B0C6LSD69F,,Monitor
B0CP6JXK9X,https://www.amazon.com/dp/B0CP6JXK9X,,Monitor
B0CDQLTQTL,https://www.amazon.com/dp/B0CDQLTQTL,,Monitor
B0G1PYLBD3,https://www.amazon.com/dp/B0G1PYLBD3,,Monitor
B0G4MVZMT6,https://www.amazon.com/dp/B0G4MVZMT6,,Monitor
B0G49SZ24N,https://www.amazon.com/dp/B0G49SZ24N,,Monitor
B0B5HM32DK,https://www.amazon.com/dp/B0B5HM32DK,,Monitor
B0FF5HXGJK,https://www.amazon.com/dp/B0FF5HXGJK,,Monitor
B0FF5WBLMN,https://www.amazon.com/dp/B0FF5WBLMN,,Monitor
B0FF6CHRYD,https://www.amazon.com/dp/B0FF6CHRYD,,Monitor
B0F22C6BTS,https://www.amazon.com/dp/B0F22C6BTS,,Monitor
B0C8ZJKPWC,https://www.amazon.com/dp/B0C8ZJKPWC,,Monitor
B0CPHW5JQY,https://www.amazon.com/dp/B0CPHW5JQY,,Monitor
B0F4M14B9L,https://www.amazon.com/dp/B0F4M14B9L,,Monitor
B0FNG7ST7M,https://www.amazon.com/dp/B0FNG7ST7M,,Monitor
B0DQVP7TNH,https://www.amazon.com/dp/B0DQVP7TNH,,Monitor
B0FTS1KC43,https://www.amazon.com/dp/B0FTS1KC43,,Monitor
B0D682HF6R,https://www.amazon.com/dp/B0D682HF6R,,Monitor
B0FLL354M2,https://www.amazon.com/dp/B0FLL354M2,,Monitor
B0CYQGRTHX,https://www.amazon.com/dp/B0CYQGRTHX,,Monitor
B0C1KPXPM9,https://www.amazon.com/dp/B0C1KPXPM9,,Monitor
B0D2FSYS5J,https://www.amazon.com/dp/B0D2FSYS5J,,Monitor
B0D2FZS3JM,https://www.amazon.com/dp/B0D2FZS3JM,,Monitor
B07YGZL8XF,https://www.amazon.com/dp/B07YGZL8XF,,Monitor
B0DQFF7FBS,https://www.amazon.com/dp/B0DQFF7FBS,,Monitor
B0BTK1C533,https://www.amazon.com/dp/B0BTK1C533,,Monitor
B0FDVNJ8ST,https://www.amazon.com/dp/B0FDVNJ8ST,,Monitor
B08VM9JN7H,https://www.amazon.com/dp/B08VM9JN7H,,Monitor
B07KXSR99Y,https://www.amazon.com/dp/B07KXSR99Y,,Monitor
B0DBN3XWQQ,https://www.amazon.com/dp/B0DBN3XWQQ,,Monitor
B0FCPGQ8BY,https://www.amazon.com/dp/B0FCPGQ8BY,,Monitor
B0FC55CNWY,https://www.amazon.com/dp/B0FC55CNWY,,Monitor
B0D2JM3NQG,https://www.amazon.com/dp/B0D2JM3NQG,,Monitor
B0FC55R7WK,https://www.amazon.com/dp/B0FC55R7WK,,Monitor
B0CZ5KN8HB,https://www.amazon.com/dp/B0CZ5KN8HB,,Monitor
B0CZ1RTYQY,https://www.amazon.com/dp/B0CZ1RTYQY,,Monitor
B0DR9N6M93,https://www.amazon.com/dp/B0DR9N6M93,,Monitor
B0DPRDQL9G,https://www.amazon.com/dp/B0DPRDQL9G,,Monitor
B0FHKDC59F,https://www.amazon.com/dp/B0FHKDC59F,,Monitor
B08WJ26WP6,https://www.amazon.com/dp/B08WJ26WP6,,Monitor
B0DG1PDNV8,https://www.amazon.com/dp/B0DG1PDNV8,,Monitor
B0D7NSZRJW,https://www.amazon.com/dp/B0D7NSZRJW,,Monitor
B0CV26XVMD,https://www.amazon.com/dp/B0CV26XVMD,,Monitor
B0F73CKR9D,https://www.amazon.com/dp/B0F73CKR9D,,Monitor
B09XJN41PT,https://www.amazon.com/dp/B09XJN41PT,,Monitor
B0DT1J3B6G,https://www.amazon.com/dp/B0DT1J3B6G,,Monitor
B0FJS4MBHK,https://www.amazon.com/dp/B0FJS4MBHK,,Monitor
B0D7NNK43H,https://www.amazon.com/dp/B0D7NNK43H,,Monitor
B0D7NXSQ44,https://www.amazon.com/dp/B0D7NXSQ44,,Monitor
B0F7313X8L,https://www.amazon.com/dp/B0F7313X8L,,Monitor
B083Z2RPB9,https://www.amazon.com/dp/B083Z2RPB9,,Monitor
B09FP3J623,https://www.amazon.com/dp/B09FP3J623,,Monitor
B088BC5HMM,https://www.amazon.com/dp/B088BC5HMM,,Monitor
B0G31R3TTD,https://www.amazon.com/dp/B0G31R3TTD,,Monitor
B0F23LR6JQ,https://www.amazon.com/dp/B0F23LR6JQ,,Monitor
B0D23BYB66,https://www.amazon.com/dp/B0D23BYB66,,Monitor
B0D6C6F2L8,https://www.amazon.com/dp/B0D6C6F2L8,,Monitor
B0CC85MCC6,https://www.amazon.com/dp/B0CC85MCC6,,Monitor
B0FNQ4B2Z2,https://www.amazon.com/dp/B0FNQ4B2Z2,,Monitor
B0CV27X9K7,https://www.amazon.com/dp/B0CV27X9K7,,Monitor
B0DF786923,https://www.amazon.com/dp/B0DF786923,,Monitor
B0CSGWXVBN,https://www.amazon.com/dp/B0CSGWXVBN,,Monitor
B0CZWJG5GZ,https://www.amazon.com/dp/B0CZWJG5GZ,,Monitor
B0CV236YSW,https://www.amazon.com/dp/B0CV236YSW,,Monitor
B0D6C4316S,https://www.amazon.com/dp/B0D6C4316S,,Monitor
B08C65GFGK,https://www.amazon.com/dp/B08C65GFGK,,Monitor
B09B8WLYGD,https://www.amazon.com/dp/B09B8WLYGD,,Monitor
B0845NXCXF,https://www.amazon.com/dp/B0845NXCXF,,Monitor
B07PGL2WVS,https://www.amazon.com/dp/B07PGL2WVS,,Monitor
B0DY99NW1N,https://www.amazon.com/dp/B0DY99NW1N,,Monitor
B0F5RHB9MZ,https://www.amazon.com/dp/B0F5RHB9MZ,,Monitor
B0F6PLGZQG,https://www.amazon.com/dp/B0F6PLGZQG,,Monitor
