asin,url,image_url,category
B0FVQYBVGP,https://www.amazon.com/ASUS-Desktop-Processor-NVIDIA%C2%AE-G700TF-MS776/dp/B0FVQYBVGP,https://m.media-amazon.com/images/I/81-XOUG1MAL.jpg,PC
B0DQ6PVLCV,https://www.amazon.com/Skytech-Gaming-Desktop-5-5GHz-NVIDIA/dp/B0DQ6PVLCV,https://m.media-amazon.com/images/I/71gtoidr0kL.jpg,PC
B0DWHN5R8W,https://www.amazon.com/iBUYPOWER-Desktop-Computer-GeForce-Keyboard/dp/B0DWHN5R8W,https://m.media-amazon.com/images/I/81Di+lzv5SL.jpg,PC
B0DT5V1HYV,https://www.amazon.com/YAWYORE-Desktop-Computer-3200MHz-Prebuilt/dp/B0DT5V1HYV,https://m.media-amazon.com/images/I/81+OikqnQ3L.jpg,PC
B0GBV8PMY6,https://www.amazon.com/LXZ-Gaming-PC-Desktop-Computer/dp/B0GBV8PMY6,https://m.media-amazon.com/images/I/71gOXmh22jL.jpg,PC
B0GD7GMZ9M,https://www.amazon.com/WIWB-Desktop-GeForce-Prebuilt-Computer/dp/B0GD7GMZ9M,https://m.media-amazon.com/images/I/713mBS4QF9L.jpg,PC
B0DCMH6T7X,https://www.amazon.com/CyberPowerPC-Master-Gaming-Windows-GMA3100A/dp/B0DCMH6T7X,https://m.media-amazon.com/images/I/71up+hmd7zL.jpg,PC
B0CKTM52YC,https://www.amazon.com/Dell-Optiplex-3060-Computer-Professional/dp/B0CKTM52YC,https://m.media-amazon.com/images/I/81fo98vRsTL.jpg,PC
B09R6H1Z6H,https://www.amazon.com/Dell-Optiplex-Desktop-Computer-i5-6500/dp/B09R6H1Z6H,https://m.media-amazon.com/images/I/61RcnCuHbmL.jpg,PC
B0FNN3X79F,https://www.amazon.com/GIGABYTE-AORUS-Desktop-Windows-AP5A7N7T-5000/dp/B0FNN3X79F,https://m.media-amazon.com/images/I/71v+1U24+vL.jpg,PC
B0BM34K8RT,https://www.amazon.com/Dell-Optiplex-Desktop-Computer-Keyboard/dp/B0BM34K8RT,https://m.media-amazon.com/images/I/81UAXjWUDTL.jpg,PC
B0GDR7D761,https://www.amazon.com/WIWB-Prebuilt-Desktop-Computer-Streaming/dp/B0GDR7D761,https://m.media-amazon.com/images/I/71MY4dN7X-L.jpg,PC
B0FW4N61K8,https://www.amazon.com/Kroteaup-Desktop-Computer-i7-4770-3-4GHz-Windows/dp/B0FW4N61K8,https://m.media-amazon.com/images/I/71o88EiznEL.jpg,PC
B0BN1SLZ9F,https://www.amazon.com/Dell-OptiPlex-7050-Computer-Bluetooth/dp/B0BN1SLZ9F,https://m.media-amazon.com/images/I/51ty7vW0tXL.jpg,PC
B0F2BCG7R7,https://www.amazon.com/ASUS-Desktop-Processor-NVIDIA%C2%AE-G700TF-XS776/dp/B0F2BCG7R7,https://m.media-amazon.com/images/I/618jdHWV8QL.jpg,PC
