asin,url,image_url,category
B0CGD7T1XM,https://www.amazon.com/dp/B0CGD7T1XM,,Laptop
B0CWN27G3V,https://www.amazon.com/dp/B0CWN27G3V,,Laptop
B0G66MVN1H,https://www.amazon.com/dp/B0G66MVN1H,,Laptop
B0G66T7FN4,https://www.amazon.com/dp/B0G66T7FN4,,Laptop
B09DB2MG5M,https://www.amazon.com/dp/B09DB2MG5M,,Laptop
B0G66TVKKY,https://www.amazon.com/dp/B0G66TVKKY,,Laptop
B0947BJ67M,https://www.amazon.com/dp/B0947BJ67M,,Laptop
B0F5KTGDS9,https://www.amazon.com/dp/B0F5KTGDS9,,Laptop
B0DZZWMB2L,https://www.amazon.com/dp/B0DZZWMB2L,,Laptop
B0DW1FVPK8,https://www.amazon.com/dp/B0DW1FVPK8,,Laptop
B0DW1X5YCQ,https://www.amazon.com/dp/B0DW1X5YCQ,,Laptop
B0GFVSYGMW,https://www.amazon.com/dp/B0GFVSYGMW,,Laptop
B0DT7FC9B7,https://www.amazon.com/dp/B0DT7FC9B7,,Laptop
B0C7MR5RDH,https://www.amazon.com/dp/B0C7MR5RDH,,Laptop
B0FS1V6XZD,https://www.amazon.com/dp/B0FS1V6XZD,,Laptop
B0D7SK7H8N,https://www.amazon.com/dp/B0D7SK7H8N,,Laptop
B0C5S8626M,https://www.amazon.com/dp/B0C5S8626M,,Laptop
B0G2WT12HL,https://www.amazon.com/dp/B0G2WT12HL,,Laptop
B0DWS7SDHD,https://www.amazon.com/dp/B0DWS7SDHD,,Laptop
B0G2X81X3B,https://www.amazon.com/dp/B0G2X81X3B,https://m.media-amazon.com/images/I/31-Zq50GcCL._SS64_.jpg,Laptop
B0G2WSZ2W7,https://www.amazon.com/dp/B0G2WSZ2W7,https://m.media-amazon.com/images/I/313D5KZumSL._SS64_.jpg,Laptop
B0G2WQ3921,https://www.amazon.com/dp/B0G2WQ3921,https://m.media-amazon.com/images/I/31+FHpEqtoL._SS64_.jpg,Laptop
B0G2WZNGP5,https://www.amazon.com/dp/B0G2WZNGP5,https://m.media-amazon.com/images/I/31kgCR1GeAL._SS64_.jpg,Laptop
B0G2X3196T,https://www.amazon.com/dp/B0G2X3196T,https://m.media-amazon.com/images/I/31+HXAaAxCL._SS64_.jpg,Laptop
B0GQC69ZBL,https://www.amazon.com/dp/B0GQC69ZBL,,Laptop
B0GKP72XSQ,https://www.amazon.com/dp/B0GKP72XSQ,https://m.media-amazon.com/images/I/51r4o1OMrmL._SS64_.jpg,Laptop
B0G52KT9CD,https://www.amazon.com/dp/B0G52KT9CD,https://m.media-amazon.com/images/I/51zWu76joJL._SS64_.jpg,Laptop
B0G6763MD2,https://www.amazon.com/dp/B0G6763MD2,,Laptop
B0G67PB8HM,https://www.amazon.com/dp/B0G67PB8HM,,Laptop
B0G66T1X91,https://www.amazon.com/dp/B0G66T1X91,,Laptop
B0G679GRFL,https://www.amazon.com/dp/B0G679GRFL,,Laptop
B0G67M8B4C,https://www.amazon.com/dp/B0G67M8B4C,,Laptop
B0G679ZCW3,https://www.amazon.com/dp/B0G679ZCW3,,Laptop
