asin,url,image_url,category
B0C8ZKV5R9,https://www.amazon.com/PHILIPS-Frameless-Replacement-Warranty-241V8LB/dp/B0C8ZKV5R9,https://m.media-amazon.com/images/I/71oilmGrVuL.jpg,Monitor
B0CVM2GJCN,https://www.amazon.com/PHILIPS-Adaptive-Replacement-Warranty-221V8LB/dp/B0CVM2GJCN,https://m.media-amazon.com/images/I/71RTruFctrL.jpg,Monitor
B0C8ZJNZY8,https://www.amazon.com/PHILIPS-27-inch-Replacement-Warranty-271V8LB/dp/B0C8ZJNZY8,https://m.media-amazon.com/images/I/7161NvPxE-L.jpg,Monitor
B0D9MK23S7,https://www.amazon.com/acer-Monitor-Adaptive-Sync-FreeSync-Compatible/dp/B0D9MK23S7,https://m.media-amazon.com/images/I/71e5GgPXQzL.jpg,Monitor
B0B9NNWXVP,https://www.amazon.com/MNN-Portable-15-6inch-Ultra-Slim-Speakers/dp/B0B9NNWXVP,https://m.media-amazon.com/images/I/81Q9vMNUOyL.jpg,Monitor
B0D6CKL4HV,https://www.amazon.com/SAMSUNG-Business-Borderless-DisplayPort-LS32B304NWNXGO/dp/B0D6CKL4HV,https://m.media-amazon.com/images/I/81rcnsbOb4L.jpg,Monitor
B0GGRLM829,https://www.amazon.com/Z-Edge-Curved-Gaming-Monitor-Computer/dp/B0GGRLM829,https://m.media-amazon.com/images/I/71Qt7WM49FL.jpg,Monitor
B0FT21HKZ6,https://www.amazon.com/Sceptre-22-Inch-DisplayPort-Speakers-E225W-FW144/dp/B0FT21HKZ6,https://m.media-amazon.com/images/I/71mE4lZ2zRL.jpg,Monitor
B0F1GF1KFC,https://www.amazon.com/Dell-Plus-Monitor-Integrated-Comfortview/dp/B0F1GF1KFC,https://m.media-amazon.com/images/I/61pF09VcRPL.jpg,Monitor
B0CP7RZRMD,https://www.amazon.com/Amazon-Basics-Monitor-Compatible-Speakers/dp/B0CP7RZRMD,https://m.media-amazon.com/images/I/710q+sSccwL.jpg,Monitor
B0F1HNQTN2,https://www.amazon.com/Dell-Monitor-1920x1080-Anti-Glare-Comfortview/dp/B0F1HNQTN2,https://m.media-amazon.com/images/I/71HQ1o3B9-L.jpg,Monitor
B0CHHSFMRL,https://www.amazon.com/Sceptre-DisplayPort-FreeSync-Frameless-E275W-FW100T/dp/B0CHHSFMRL,https://m.media-amazon.com/images/I/71jdr9u9YhL.jpg,Monitor
