asin,url,image_url,category
B0DXMW74JZ,https://www.amazon.com/dp/B0DXMW74JZ,,Television
B0DYVPWD85,https://www.amazon.com/dp/B0DYVPWD85,,Television
B0DXMQRM5Z,https://www.amazon.com/dp/B0DXMQRM5Z,,Television
B0DXNFKPF3,https://www.amazon.com/dp/B0DXNFKPF3,,Television
B0DYVMS2VK,https://www.amazon.com/dp/B0DYVMS2VK,,Television
B0F4RBP9JC,https://www.amazon.com/dp/B0F4RBP9JC,https://m.media-amazon.com/images/I/71FcGM2MXvL.jpg,Television
B00SFSU53G,https://www.amazon.com/dp/B00SFSU53G,https://m.media-amazon.com/images/I/61da4dQI-hL.jpg,Television
B07SGD4TB4,https://www.amazon.com/dp/B07SGD4TB4,https://m.media-amazon.com/images/I/61nlXjpan8L.jpg,Television
B00KXTZ3BE,https://www.amazon.com/dp/B00KXTZ3BE,https://m.media-amazon.com/images/I/71uQzpSUiLL.jpg,Television
B0CZD8L4V6,https://www.amazon.com/dp/B0CZD8L4V6,https://m.media-amazon.com/images/I/61cgLKPEUvL.jpg,Television
B0B193JVDJ,https://www.amazon.com/dp/B0B193JVDJ,https://m.media-amazon.com/images/I/81EUSSdh7qL.jpg,Television
B09CR75TRR,https://www.amazon.com/dp/B09CR75TRR,https://m.media-amazon.com/images/I/81BJI+FH-6L.jpg,Television
B0FBYQHQH1,https://www.amazon.com/dp/B0FBYQHQH1,https://m.media-amazon.com/images/I/71v1mNcT6qL.jpg,Television
B0FH6NC6Z9,https://www.amazon.com/dp/B0FH6NC6Z9,https://m.media-amazon.com/images/I/61+JOORZPML.jpg,Television
B0DT494JX5,https://www.amazon.com/dp/B0DT494JX5,https://m.media-amazon.com/images/I/71c-zvwHMZL.jpg,Television
B0DYR3D7QQ,https://www.amazon.com/dp/B0DYR3D7QQ,https://m.media-amazon.com/images/I/71dBiCxSyPL.jpg,Television
B0FN7T2FHR,https://www.amazon.com/dp/B0FN7T2FHR,https://m.media-amazon.com/images/I/612Kmpi4JQL.jpg,Television
B0D5KKV2MS,https://www.amazon.com/dp/B0D5KKV2MS,https://m.media-amazon.com/images/I/81kR2URIpEL.jpg,Television
B0GGBLYCCJ,https://www.amazon.com/dp/B0GGBLYCCJ,https://m.media-amazon.com/images/I/61HSRgrYLzL.jpg,Television
B0DK2HCNNP,https://www.amazon.com/dp/B0DK2HCNNP,https://m.media-amazon.com/images/I/512dkC0RnqL.jpg,Television
B0DQK8ZCMF,https://www.amazon.com/dp/B0DQK8ZCMF,https://m.media-amazon.com/images/I/71+BwwCTumL.jpg,Television
