17:47:01 [INFO] Hệ thống khởi tạo thành công. Thư mục: D:\Hoctap_Code_PrivateProject\MiningMassiveData\crawl_amazon_metadata\data_amazon_links
17:47:01 [INFO] 🚀 Hệ thống khởi tạo thành công. Kết quả sẽ lưu tại: D:\Hoctap_Code_PrivateProject\MiningMassiveData\crawl_amazon_metadata\metadata
17:47:04 [INFO] 📍 Đang thiết lập vùng địa lý US (Zip: 10001)...
17:47:13 [INFO] ✅ Đã chuyển vùng thành công.
17:47:13 [INFO] 📂 ĐANG XỬ LÝ DANH MỤC: SMARTPHONE | File: smartphone_products.csv
17:47:13 [INFO] 🔎 Tìm thấy 1730 URL duy nhất.
17:47:13 [INFO]    🔹 [1/1730] Cào URL: https://www.amazon.com/Apple-iPhone-15-128GB-Black/dp/B0CMPMY9ZZ
17:47:32 [INFO]       ✅ DONE: B0CMPMY9ZZ | 5 ảnh | 57 specs
17:47:34 [INFO]    🔹 [2/1730] Cào URL: https://www.amazon.com/Apple-iPhone-14-128GB-Midnight/dp/B0BN72FYFG
17:47:46 [INFO]       ✅ DONE: B0BN72FYFG | 4 ảnh | 47 specs
17:47:48 [INFO]    🔹 [3/1730] Cào URL: https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB
17:48:05 [INFO]       ✅ DONE: B08PP5MSVB | 5 ảnh | 48 specs
17:48:06 [INFO]    🔹 [4/1730] Cào URL: https://www.amazon.com/Apple-iPhone-128GB-eSIM-Black/dp/B0F4RM7Y2L
17:48:26 [INFO]       ✅ DONE: B0F4RM7Y2L | 5 ảnh | 47 specs
17:48:27 [INFO]    🔹 [5/1730] Cào URL: https://www.amazon.com/Apple-iPhone-Version-Desert-Titanium/dp/B0DHJ9SCJ4
17:48:41 [INFO]       ✅ DONE: B0DHJ9SCJ4 | 7 ảnh | 44 specs
17:48:42 [INFO]    🔹 [6/1730] Cào URL: https://www.amazon.com/Apple-iPhone-16-Version-128GB/dp/B0DHJH2GZL
17:48:59 [INFO]       ✅ DONE: B0DHJH2GZL | 5 ảnh | 42 specs
17:49:00 [INFO]    🔹 [7/1730] Cào URL: https://www.amazon.com/Apple-iPhone-Version-128GB-Ultramarine/dp/B0DPDQLH55
17:49:17 [INFO]       ✅ DONE: B0DPDQLH55 | 1 ảnh | 44 specs
17:49:18 [INFO]    🔹 [8/1730] Cào URL: https://www.amazon.com/Apple-iPhone-16-Version-Ultramarine/dp/B0DHJGKNT1
17:49:35 [INFO]       ✅ DONE: B0DHJGKNT1 | 1 ảnh | 42 specs
17:49:37 [INFO]    🔹 [9/1730] Cào URL: https://www.amazon.com/Apple-Natural-Titanium-Verizon-Renewed/dp/B0DN1K9THC
17:49:50 [INFO]       ✅ DONE: B0DN1K9THC | 7 ảnh | 25 specs
17:49:51 [INFO]    🔹 [10/1730] Cào URL: https://www.amazon.com/Apple-iPhone-Version-Desert-Titanium/dp/B0DPJMTH4N
17:50:04 [INFO]       ✅ DONE: B0DPJMTH4N | 7 ảnh | 27 specs
17:50:06 [INFO]    🔹 [11/1730] Cào URL: https://www.amazon.com/Apple-iPhone-Pro-256GB-Gold/dp/B08BHHRZQG
17:50:19 [INFO]       ✅ DONE: B08BHHRZQG | 7 ảnh | 35 specs
17:50:21 [INFO]    🔹 [12/1730] Cào URL: https://www.amazon.com/Apple-iPhone-Purple-Renewed-Premium/dp/B0BYLMFTBY
17:50:34 [INFO]       ✅ DONE: B0BYLMFTBY | 5 ảnh | 25 specs
17:50:36 [INFO]    🔹 [13/1730] Cào URL: https://www.amazon.com/Apple-iPhone-5C-Sprint-Green/dp/B00F3IIVV4
17:50:47 [INFO]       ✅ DONE: B00F3IIVV4 | 1 ảnh | 27 specs
17:50:49 [INFO]    🔹 [14/1730] Cào URL: https://www.amazon.com/Camera-Module-Replacement-Compatible-Original/dp/B0GSX92HRY
17:50:58 [INFO]       ✅ DONE: B0GSX92HRY | 1 ảnh | 16 specs
17:50:59 [INFO]    🔹 [15/1730] Cào URL: https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256/dp/B07TJBCC7H
17:51:14 [INFO]       ✅ DONE: B07TJBCC7H | 2 ảnh | 35 specs
17:51:16 [INFO]    🔹 [16/1730] Cào URL: https://www.amazon.com/Apple-iPhone-SE-64GB-Red/dp/B08FG7X36T
17:51:26 [INFO]       ✅ DONE: B08FG7X36T | 6 ảnh | 21 specs
17:51:27 [INFO]    🔹 [17/1730] Cào URL: https://www.amazon.com/Apple-iPhone-XS-Fully-Unlocked/dp/B07K4V35TJ
17:51:42 [INFO]       ✅ DONE: B07K4V35TJ | 5 ảnh | 38 specs
17:51:43 [INFO]    🔹 [18/1730] Cào URL: https://www.amazon.com/Apple-iPhone-256GB-Pacific-Blue/dp/B08PMKDJ28
17:51:56 [INFO]       ✅ DONE: B08PMKDJ28 | 7 ảnh | 24 specs
17:51:57 [INFO]    🔹 [19/1730] Cào URL: https://www.amazon.com/Apple-iPhone-Max-256GB-Gold/dp/B07WHKDGL4
17:52:08 [INFO]       ✅ DONE: B07WHKDGL4 | 4 ảnh | 26 specs
17:52:09 [INFO]    🔹 [20/1730] Cào URL: https://www.amazon.com/Compatible-iPhone-14-Pro-Unlocked/dp/B0DKK25634
17:52:21 [INFO]       ✅ DONE: B0DKK25634 | 2 ảnh | 40 specs
17:52:21 [INFO] 💾 Đã ghi 20 items vào smartphone_details.jsonl
17:52:23 [INFO]    🔹 [21/1730] Cào URL: https://www.amazon.com/Tracfone-Apple-iPhone-Prepaid-Smartphone/dp/B09SBRDNHH
17:52:37 [INFO]       ✅ DONE: B09SBRDNHH | 4 ảnh | 57 specs
17:52:39 [INFO]    🔹 [22/1730] Cào URL: https://www.amazon.com/Compatible-iPhone-11-Pro-Max/dp/B0DKK1KYDQ
17:52:49 [INFO]       ✅ DONE: B0DKK1KYDQ | 2 ảnh | 24 specs
17:52:51 [INFO]    🔹 [23/1730] Cào URL: https://www.amazon.com/Samsung-Unlocked-Smartphone-Charging-Warranty/dp/B0G4SW3XXP
17:53:07 [INFO]       ✅ DONE: B0G4SW3XXP | 7 ảnh | 37 specs
17:53:08 [INFO]    🔹 [24/1730] Cào URL: https://www.amazon.com/Samsung-International-SM-A165F-Factory-Unlocked/dp/B0DM1S54MZ
17:53:23 [INFO]       ✅ DONE: B0DM1S54MZ | 7 ảnh | 49 specs
17:53:25 [INFO]    🔹 [25/1730] Cào URL: https://www.amazon.com/Samsung-Unlocked-Smartphone-Processor-Immersive/dp/B0G4SYN2QC
17:53:48 [INFO]       ✅ DONE: B0G4SYN2QC | 7 ảnh | 37 specs
17:53:49 [INFO]    🔹 [26/1730] Cào URL: https://www.amazon.com/SAMSUNG-International-SM-A165F-DS-Unlocked/dp/B0DT4T8D65
17:54:06 [INFO]       ✅ DONE: B0DT4T8D65 | 1 ảnh | 47 specs
17:54:08 [INFO]    🔹 [27/1730] Cào URL: https://www.amazon.com/Samsung-High-Res-Charging-Expandable-Manufacturer/dp/B0FXY1DZ78
17:54:26 [INFO]       ✅ DONE: B0FXY1DZ78 | 7 ảnh | 56 specs
17:54:28 [INFO]    🔹 [28/1730] Cào URL: https://www.amazon.com/Samsung-High-Res-Charging-Expandable-Manufacturer/dp/B0FXY18C1J
17:54:45 [INFO]       ✅ DONE: B0FXY18C1J | 7 ảnh | 54 specs
17:54:46 [INFO]    🔹 [29/1730] Cào URL: https://www.amazon.com/Samsung-Smartphone-Unlocked-Res-Camera-Warranty/dp/B0FG1THCD7
17:55:03 [INFO]       ✅ DONE: B0FG1THCD7 | 7 ảnh | 51 specs
17:55:05 [INFO]    🔹 [30/1730] Cào URL: https://www.amazon.com/Samsung-A36-Smartphone-Connectivity-Performance/dp/B0DXHKH86B
17:55:23 [INFO]       ✅ DONE: B0DXHKH86B | 7 ảnh | 54 specs
17:55:24 [INFO]    🔹 [31/1730] Cào URL: https://www.amazon.com/SAMSUNG-Resistant-International-Unlocked-T-Mobile/dp/B0F49DQKT8
17:55:40 [INFO]       ✅ DONE: B0F49DQKT8 | 5 ảnh | 46 specs
17:55:41 [INFO]    🔹 [32/1730] Cào URL: https://www.amazon.com/Motorola-Unlocked-256GB-Camera-Beach/dp/B0D3JGGXBH
17:55:58 [INFO]       ✅ DONE: B0D3JGGXBH | 7 ảnh | 55 specs
17:55:59 [INFO]    🔹 [33/1730] Cào URL: https://www.amazon.com/Moto-Play-Unlocked-Camera-Sapphire/dp/B0CP6DDN1H
17:56:19 [INFO]       ✅ DONE: B0CP6DDN1H | 7 ảnh | 57 specs
17:56:20 [INFO]    🔹 [34/1730] Cào URL: https://www.amazon.com/SAMSUNG-Resistant-Unlocked-International-DS/dp/B0DNRFGBQ4
17:56:37 [INFO]       ✅ DONE: B0DNRFGBQ4 | 7 ảnh | 47 specs
17:56:39 [INFO]    🔹 [35/1730] Cào URL: https://www.amazon.com/Moto-Unlocked-128GB-Camera-Forest/dp/B0DNRK51QQ
17:56:58 [INFO]       ✅ DONE: B0DNRK51QQ | 7 ảnh | 51 specs
17:56:59 [INFO]    🔹 [36/1730] Cào URL: https://www.amazon.com/Verizon-Prepaid-Motorola-Unlocked-Smartphone/dp/B0FNSVBZ22
17:57:18 [INFO]       ✅ DONE: B0FNSVBZ22 | 6 ảnh | 52 specs
17:57:20 [INFO]    🔹 [37/1730] Cào URL: https://www.amazon.com/Google-Pixel-Gemini-Smartphone-Incredible/dp/B0DVHV7X53
17:57:40 [INFO]       ✅ DONE: B0DVHV7X53 | 7 ảnh | 55 specs
17:57:42 [INFO]    🔹 [38/1730] Cào URL: https://www.amazon.com/Tracfone-Motorola-Activation-Promotion-1500Min/dp/B0FTG3Z4YT
17:57:58 [INFO]       ✅ DONE: B0FTG3Z4YT | 6 ảnh | 45 specs
17:58:00 [INFO]    🔹 [39/1730] Cào URL: https://www.amazon.com/OnePlus-Dual-SIM-Unlocked-Smartphone-Snapdragon/dp/B0FSCRCDYC
17:58:18 [INFO]       ✅ DONE: B0FSCRCDYC | 7 ảnh | 50 specs
17:58:20 [INFO]    🔹 [40/1730] Cào URL: https://www.amazon.com/Samsung-TOSAS156VC64PWP-Processor-Wireless-Smartphone/dp/B0F6R3NG7Y
17:58:36 [INFO]       ✅ DONE: B0F6R3NG7Y | 7 ảnh | 52 specs
17:58:36 [INFO] 💾 Đã ghi 20 items vào smartphone_details.jsonl
17:58:38 [INFO]    🔹 [41/1730] Cào URL: https://www.amazon.com/Stylus-Unlocked-256GB-Camera-Caramel/dp/B0D1ZFS9GH
17:58:57 [INFO]       ✅ DONE: B0D1ZFS9GH | 7 ảnh | 59 specs
17:58:59 [INFO]    🔹 [42/1730] Cào URL: https://www.amazon.com/Power-Unlocked-128GB-Camera-Midnight/dp/B0CT6BQV81
17:59:20 [INFO]       ✅ DONE: B0CT6BQV81 | 7 ảnh | 58 specs
17:59:21 [INFO]    🔹 [43/1730] Cào URL: https://www.amazon.com/Smartphone-Unlocked-Processor-Manufacturer-Silverblue/dp/B0DP3CP2SY
17:59:40 [INFO]       ✅ DONE: B0DP3CP2SY | 7 ảnh | 54 specs
17:59:42 [INFO]    🔹 [44/1730] Cào URL: https://www.amazon.com/SAMSUNG-Version-SM-A065M-DS-Unlocked/dp/B0DNLLMVBX
17:59:58 [INFO]       ✅ DONE: B0DNLLMVBX | 7 ảnh | 49 specs
17:59:59 [INFO]    🔹 [45/1730] Cào URL: https://www.amazon.com/BLU-Unlocked-Display-Android-Warranty/dp/B0FMYX276H
18:00:17 [INFO]       ✅ DONE: B0FMYX276H | 7 ảnh | 34 specs
18:00:18 [INFO]    🔹 [46/1730] Cào URL: https://www.amazon.com/Samsung-Smartphone-Unlocked-Manufacturer-Warranty/dp/B0F7K3TVTP
18:00:36 [INFO]       ✅ DONE: B0F7K3TVTP | 7 ảnh | 46 specs
18:00:38 [INFO]    🔹 [47/1730] Cào URL: https://www.amazon.com/SAMSUNG-Resistant-International-Unlocked-T-Mobile/dp/B0F493SPV4
18:00:55 [INFO]       ✅ DONE: B0F493SPV4 | 2 ảnh | 45 specs
18:00:57 [INFO]    🔹 [48/1730] Cào URL: https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Charging-Expandable/dp/B0DLHNWHRF
18:01:16 [INFO]       ✅ DONE: B0DLHNWHRF | 7 ảnh | 59 specs
18:01:18 [INFO]    🔹 [49/1730] Cào URL: https://www.amazon.com/SAMSUNG-Resistant-International-Unlocked-T-Mobile/dp/B0F29YZ3MF
18:01:35 [INFO]       ✅ DONE: B0F29YZ3MF | 7 ảnh | 50 specs
18:01:37 [INFO]    🔹 [50/1730] Cào URL: https://www.amazon.com/BLU-All-Day-Battery-Unlocked-Warranty/dp/B0CP4FMLBT
18:01:53 [INFO]       ✅ DONE: B0CP4FMLBT | 7 ảnh | 50 specs
18:01:54 [INFO]    🔹 [51/1730] Cào URL: https://www.amazon.com/TracFone-Motorola-Activation-Promotion-Smartphone/dp/B0F7M5FSRT
18:02:12 [INFO]       ✅ DONE: B0F7M5FSRT | 7 ảnh | 51 specs
18:02:13 [INFO]    🔹 [52/1730] Cào URL: https://www.amazon.com/Samsung-Dual-SIM-Unlocked-Android-Smartphone/dp/B0CRWT7WF1
18:02:30 [INFO]       ✅ DONE: B0CRWT7WF1 | 7 ảnh | 54 specs
18:02:32 [INFO]    🔹 [53/1730] Cào URL: https://www.amazon.com/Panasonic-Link2Cell-Bluetooth-Recording-Answering/dp/B0BTFHM2GZ
18:02:44 [INFO]       ✅ DONE: B0BTFHM2GZ | 7 ảnh | 24 specs
18:02:46 [INFO]    🔹 [54/1730] Cào URL: https://www.amazon.com/Motorola-Unlocked-Camera-Pantone-Cabaret/dp/B0F2G65NZP
18:03:04 [INFO]       ✅ DONE: B0F2G65NZP | 7 ảnh | 53 specs
18:03:05 [INFO]    🔹 [55/1730] Cào URL: https://www.amazon.com/Panasonic-Answering-Bilingual-High-Contrast-Expandable/dp/B0BZFXBS38
18:03:19 [INFO]       ✅ DONE: B0BZFXBS38 | 7 ảnh | 25 specs
18:03:21 [INFO]    🔹 [56/1730] Cào URL: https://www.amazon.com/Samsung-Smartphone-Unlocked-Manufacturer-Warranty/dp/B0FB48RFL5
18:03:39 [INFO]       ✅ DONE: B0FB48RFL5 | 7 ảnh | 45 specs
18:03:41 [INFO]    🔹 [57/1730] Cào URL: https://www.amazon.com/SAMSUNG-SM-A165M-DS-Unlocked-International/dp/B0DNGJKT14
18:03:59 [INFO]       ✅ DONE: B0DNGJKT14 | 4 ảnh | 53 specs
18:04:00 [INFO]    🔹 [58/1730] Cào URL: https://www.amazon.com/Samsung-Unlocked-International-T-Mobile-Verizon/dp/B0FKNRD1XD
18:04:15 [INFO]       ✅ DONE: B0FKNRD1XD | 1 ảnh | 26 specs
18:04:16 [INFO]    🔹 [59/1730] Cào URL: https://www.amazon.com/AT-BL102-2-2-Handset-Answering-Unsurpassed/dp/B086QB7WZ1
18:04:30 [INFO]       ✅ DONE: B086QB7WZ1 | 7 ảnh | 25 specs
18:04:32 [INFO]    🔹 [60/1730] Cào URL: https://www.amazon.com/Google-Pixel-Unlocked-Smartphone-Advanced/dp/B0D7HWJDQM
18:04:52 [INFO]       ✅ DONE: B0D7HWJDQM | 7 ảnh | 53 specs
18:04:52 [INFO] 💾 Đã ghi 20 items vào smartphone_details.jsonl
18:04:54 [INFO]    🔹 [61/1730] Cào URL: https://www.amazon.com/SAMSUNG-Galaxy-Unlocked-Global-DS/dp/B0CRFB8HW4
18:05:09 [INFO]       ✅ DONE: B0CRFB8HW4 | 7 ảnh | 42 specs
18:05:11 [INFO]    🔹 [62/1730] Cào URL: https://www.amazon.com/Yealink-T54W-Accounts-4-3-Inch-Dual-Port/dp/B07ND62JJM
18:05:23 [INFO]       ✅ DONE: B07ND62JJM | 3 ảnh | 25 specs
18:05:25 [INFO]    🔹 [63/1730] Cào URL: https://www.amazon.com/AT-4-Handset-Expandable-Answering-Speakerphone/dp/B0DYV232GT
18:05:39 [INFO]       ✅ DONE: B0DYV232GT | 7 ảnh | 21 specs
18:05:40 [INFO]    🔹 [64/1730] Cào URL: https://www.amazon.com/VTech-CS6529-4B-4-Handset-Expandable-Wall-Mountable/dp/B01A9KBCQG
18:05:53 [INFO]       ✅ DONE: B01A9KBCQG | 7 ảnh | 26 specs
18:05:55 [INFO]    🔹 [65/1730] Cào URL: https://www.amazon.com/VTech-IS8151-5-Answering-Bluetooth-Expandable/dp/B086R819LS
18:06:08 [INFO]       ✅ DONE: B086R819LS | 7 ảnh | 27 specs
18:06:09 [INFO]    🔹 [66/1730] Cào URL: https://www.amazon.com/AT-5-Handset-Answering-One-Touch-Conference/dp/B0DT9PWJYW
18:06:20 [INFO]       ✅ DONE: B0DT9PWJYW | 7 ảnh | 23 specs
18:06:21 [INFO]    🔹 [67/1730] Cào URL: https://www.amazon.com/Nothing-Unlocked-Snapdragon-Interface-Smartphone/dp/B0F9XZ9KDM
18:06:54 [INFO]       ✅ DONE: B0F9XZ9KDM | 7 ảnh | 54 specs
18:06:55 [INFO]    🔹 [68/1730] Cào URL: https://www.amazon.com/Panasonic-KX-TGE633M-Expandable-Cordless-Answering/dp/B07JMHLP7B
18:07:07 [INFO]       ✅ DONE: B07JMHLP7B | 3 ảnh | 26 specs
18:07:09 [INFO]    🔹 [69/1730] Cào URL: https://www.amazon.com/VTech-3-Handset-Full-Duplex-Speakerphone-VG232-3/dp/B0D8765X3Q
18:07:21 [INFO]       ✅ DONE: B0D8765X3Q | 7 ảnh | 21 specs
18:07:22 [INFO]    🔹 [70/1730] Cào URL: https://www.amazon.com/Motorola-Unlocked-256GB-Camera-Midnight/dp/B0D2JB6HP5
18:07:40 [INFO]       ✅ DONE: B0D2JB6HP5 | 7 ảnh | 59 specs
18:07:42 [INFO]    🔹 [71/1730] Cào URL: https://www.amazon.com/Google-Pixel-Unlocked-Smartphone-Ultrawide/dp/B09HJZPFDD
18:08:03 [INFO]       ✅ DONE: B09HJZPFDD | 7 ảnh | 58 specs
18:08:04 [INFO]    🔹 [72/1730] Cào URL: https://www.amazon.com/Motorola-razr-2024-Unlocked-Camera/dp/B0D2JF3KHS
18:08:22 [INFO]       ✅ DONE: B0D2JF3KHS | 7 ảnh | 52 specs
18:08:24 [INFO]    🔹 [73/1730] Cào URL: https://www.amazon.com/Samsung-Galaxy-A26-SM-A266U-Smartphone/dp/B0F8NMJFR8
18:08:40 [INFO]       ✅ DONE: B0F8NMJFR8 | 7 ảnh | 44 specs
18:08:41 [INFO]    🔹 [74/1730] Cào URL: https://www.amazon.com/Verizon-Prepaid-Alcatel-Smartphone-Long-Lasting/dp/B0FX95T727
18:08:57 [INFO]       ✅ DONE: B0FX95T727 | 4 ảnh | 47 specs
18:08:58 [INFO]    🔹 [75/1730] Cào URL: https://www.amazon.com/Samsung-Unlocked-Compatible-SM-A176B-DS/dp/B0FNGVYRVQ
18:09:14 [INFO]       ✅ DONE: B0FNGVYRVQ | 7 ảnh | 46 specs
18:09:16 [INFO]    🔹 [76/1730] Cào URL: https://www.amazon.com/Snapdragon-Water-Resistant-Unlocked-T-Mobile-SM-G986U1/dp/B09TN9RXFW
18:09:32 [INFO]       ✅ DONE: B09TN9RXFW | 7 ảnh | 53 specs
18:09:34 [INFO]    🔹 [77/1730] Cào URL: https://www.amazon.com/VTech-VG131-11-DECT-Cordless-Phone/dp/B0CTQDMHBH
18:09:46 [INFO]       ✅ DONE: B0CTQDMHBH | 7 ảnh | 23 specs
18:09:48 [INFO]    🔹 [78/1730] Cào URL: https://www.amazon.com/BLU-Unlocked-Infinity-Display-Warranty/dp/B0FKKRW77S
18:09:59 [INFO]       ✅ DONE: B0FKKRW77S | 7 ảnh | 21 specs
18:10:00 [INFO]    🔹 [79/1730] Cào URL: https://www.amazon.com/BlackBerry-Unlocked-Android-Smartphone-T-Mobile/dp/B07D7TJQ83
18:10:16 [INFO]       ✅ DONE: B07D7TJQ83 | 7 ảnh | 53 specs
18:10:17 [INFO]    🔹 [80/1730] Cào URL: https://www.amazon.com/TCL-NXTPAPER-T-Mobile-Smartphone-Paper-Like/dp/B0GGGQDY9H
18:10:38 [INFO]       ✅ DONE: B0GGGQDY9H | 7 ảnh | 41 specs
18:10:38 [INFO] 💾 Đã ghi 20 items vào smartphone_details.jsonl
18:10:40 [INFO]    🔹 [81/1730] Cào URL: https://www.amazon.com/Google-Pixel-128GB-Unlocked-Smartphone/dp/B0CF7D27XD
18:10:54 [INFO]       ✅ DONE: B0CF7D27XD | 5 ảnh | 42 specs
18:10:56 [INFO]    🔹 [82/1730] Cào URL: https://www.amazon.com/Verizon-Prepaid-Motorola-Moto-Sapphire/dp/B0F6G9LJQB
18:11:15 [INFO]       ✅ DONE: B0F6G9LJQB | 5 ảnh | 51 specs
18:11:17 [INFO]    🔹 [83/1730] Cào URL: https://www.amazon.com/Xiaomi-A5-Tmobile-25028RN03L-Midnight/dp/B0F3BC9VCY
18:11:37 [INFO]       ✅ DONE: B0F3BC9VCY | 2 ảnh | 52 specs
18:11:38 [INFO]    🔹 [84/1730] Cào URL: https://www.amazon.com/Nokia-Unlocked-Smartphone-6-67-Inch-Charcoal/dp/B09DJ2P1SF
18:11:57 [INFO]       ✅ DONE: B09DJ2P1SF | 7 ảnh | 59 specs
18:11:58 [INFO]    🔹 [85/1730] Cào URL: https://www.amazon.com/Motorola-XT2437-2-International-Unlocked-Compatible/dp/B0DTFJHXN5
18:12:12 [INFO]       ✅ DONE: B0DTFJHXN5 | 4 ảnh | 32 specs
